region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight,C6_scaled_loading,C6_raw_weight,C7_scaled_loading,C7_raw_weight,C8_scaled_loading,C8_raw_weight
SLR_03_01,25,80.25000000000001,7.249999999999995,1,3,False,247.2050247118658,4.4665910467190795,15.387521374229463,0.7328775627797365,149.57985012936197,4.010344209140619,257.88901079408475,6.409428346964354,221.90053285675788,4.946664460065883,170.36057399567176,7.447544433260027,139.98159007686337,3.3699162881557783,1197.143455789597,15.762012408566378
SLR_03_02,25,80.75000000000001,7.249999999999995,2,3,False,214.00960499188798,3.8668040290961407,117.63431844790169,5.602692630389322,211.8449247520066,5.679715994368898,190.91502974828128,4.7448947117301685,109.7272018646878,2.446067356300158,204.39530988618213,8.935419250031222,254.02318149217865,6.115353143292611,1008.5788820912173,13.279304813185044
SLR_03_03,25,81.25000000000001,7.249999999999995,3,3,False,191.39638379472208,3.4582200553097406,295.30296944684693,14.064703162153142,175.271484388656,4.699155546937874,210.39871895104807,5.229131358709161,99.5921252381733,2.22013358902621,152.8959696817933,6.684055478120563,367.01721145204465,8.835571007777714,498.4582954502423,6.562877489780484
SLR_03_04,19,81.69210526315791,7.23947368421052,4,3,False,181.157683441692,3.273223462379692,383.65554587743065,18.27276366163037,132.54475765650196,3.5536210315760846,257.30863362392773,6.395003979385134,100.07220740672312,2.23083570573816,130.70070918712227,5.713759447384937,403.92282167407586,9.724036533446204,234.71305935768467,3.0903148124451794
SLR_04_00,10,79.9,7.749999999999995,0,4,False,137.91066519083228,2.4918204761671925,1.7757695373240268,0.08457643170212671,11.070473609673947,0.29680742222033496,385.6981408781789,9.585924541352167,398.9214372262693,8.892860555496826,69.7625215434664,3.0497636089464337,99.72181395785299,2.4007025849362256,786.4229847987124,10.354322019497129
SLR_04_01,25,80.25000000000001,7.749999999999995,1,4,False,93.41084358886187,1.6877813795524352,8.16933852694988,0.38908962421853593,124.29876783297453,3.332540067069059,276.00509447935445,6.859675296032916,266.13166080125626,5.932676281736071,189.81172089979188,8.297877802352708,163.28571579303838,3.9309397255166907,908.9974623610494,11.968180765470725
SLR_04_02,25,80.75000000000001,7.749999999999995,2,4,False,74.79191544477676,1.351367757520243,117.46096391297111,5.594436092772451,224.7773296663754,6.026443144541514,175.31269203638504,4.357122990470643,153.56224183801757,3.423249481778024,256.43392266357296,11.210358056674815,241.7354981871876,5.819539500295329,809.181580801539,10.653969710726832
SLR_04_03,25,81.25000000000001,7.749999999999995,3,4,False,99.64215169060657,1.8003709396111027,331.31042181713946,15.779667729431859,218.0895220595019,5.847138174755299,201.48047832275225,5.007482424882782,126.11541587590249,2.8113976904348674,233.24431938368383,10.196592977314173,266.8913949394357,6.425142466814122,423.71873212636075,5.578830073554287
SLR_04_04,9,81.6277777777778,7.661111111111107,4,4,False,124.87944064685921,2.2563675320219914,456.78810439617433,21.755924460797562,199.7888551751595,5.356484029831622,190.1337705456045,4.725477735161277,118.4411949805444,2.6403219599125434,201.5625694790796,8.811582146439852,324.2309454100965,7.805534595382661,256.9951146743626,3.3836882011492033
SLR_05_00,9,79.90555555555557,8.227777777777773,0,5,False,58.95701792926087,1.065257021903296,20.92180782713343,0.9964648078393572,86.3496529073941,2.3150967874281525,152.56777943650226,3.791833732436623,521.3633271460915,11.622367048753713,86.77467305284915,3.7934729737358395,216.1617320185493,5.203876746972842,287.84722396326833,3.7898979390802654
SLR_05_01,25,80.25000000000001,8.249999999999995,1,5,False,41.10867738904224,0.7427666593038537,24.720681863176974,1.1773977519524716,105.52618352257417,2.829233473870113,200.4441738766768,4.981726697361439,452.7186739090841,10.092122564121283,200.5908432229269,8.769101810174687,198.73103421969583,4.784250191837818,307.9281342929698,4.054290277576824
SLR_05_02,25,80.75000000000001,8.249999999999995,2,5,False,33.099939716008436,0.5980618498947852,105.2540042883716,5.013042468610865,151.66127810678134,4.066148801996997,285.3112263274134,7.090964659949097,322.1284658082308,7.180971640197643,297.96654635433373,13.026013246793319,134.65394849413462,3.241658664155113,272.652831977335,3.589843222275302
SLR_05_03,21,81.21190476190478,8.240476190476185,3,5,False,38.44104931220436,0.6945669768828815,251.40359944186721,11.973861985438514,220.0709253657503,5.90026103367188,353.15483210495336,8.77711145888363,179.0309197052872,3.9910038806924946,323.20410491543225,14.129307479504453,55.33523074484794,1.3321401428111275,154.71737886233586,2.0370635061781663
SLR_06_00,4,79.94999999999999,8.699999999999996,0,6,False,14.276973424408991,0.2579615917841435,29.75231075334141,1.4170443999182476,235.87533165525818,6.32398862256316,81.0990917418065,2.015591187551758,494.6421698607457,11.026692052513049,76.99296371101971,3.365852232340825,237.8190550112031,5.725255061583498,0.0623563220559879,0.0008210052999460947
SLR_06_01,25,80.25000000000001,8.749999999999995,1,6,False,10.392623971665998,0.18777774132166858,23.434570954481686,1.1161428035234409,260.8540216618872,6.993685408148719,157.18407708428455,3.9065645963482516,424.0406148474684,9.452823803918038,153.20366041655262,6.697506597502685,212.71862647891388,5.12098743678937,4.537558009286108,0.05974308701356465
SLR_06_02,25,80.75000000000001,8.749999999999995,2,6,False,9.20784309894065,0.16637068600551083,72.15969792926256,3.436825351085379,294.9204320543543,7.907030564768986,288.6267111965966,7.173365855095182,285.1028707300979,6.355587433463807,264.01482792646567,11.541767651427428,119.64413553499914,2.8803124818079335,1.7708475864068776,0.023315603067984105
SLR_06_03,6,81.08333333333336,8.666666666666663,3,6,False,9.677445717116624,0.17485563833326165,155.1412923624646,7.389076477484027,306.13798801843336,8.207781371527714,379.1974795676056,9.424360763393162,183.8074547516745,4.097483643728825,328.54451888845335,14.362770947155648,12.884360524769788,0.31017804820656564,0.015109867418046565,0.00019894183657209142
SLR_07_00,1,79.85000000000002,9.049999999999995,0,7,True,11.71607425953343,0.21169032648637748,26.182135946972895,1.247003953042183,432.8216439194923,11.604262016455486,148.28468728842302,3.6853841705028687,341.9871127121419,7.623665768057114,2.0503134564117453,0.08963224419005167,168.61773692370005,4.059302782738295,1.9337343283891213,0.025460227286492394
SLR_07_01,19,80.30789473684212,9.23947368421052,1,7,False,9.741882729733326e-08,1.760199099089165e-09,1.4020794576973077,0.06677830371703986,595.4021180117032,15.963162377908974,131.4201018102722,3.266241253592108,173.6452594855996,3.8709453406802603,58.985160783523334,2.5786166102577095,221.1069685969809,5.322928354296989,8.268586216753747e-09,1.0886711857252925e-10
SLR_07_02,14,80.66428571428573,9.192857142857138,2,7,False,1.625732731349633e-10,2.937433521291962e-12,14.69124159378715,0.6997151179588321,603.8784829566902,16.19041986641623,171.51197260055756,4.262662048471443,99.2930568468905,2.2134666785720443,147.36139647211976,6.442104075096872,208.02649306133088,5.008029034034903,1.954083758913947e-13,2.572815505645878e-15
SLR_08_00,1,79.94999999999999,9.75,0,8,True,5.783779902682161,0.10450345643105316,1.6505080303431683,0.07861047099191158,700.9471595281058,18.792901448263375,271.2606765444578,6.741760202605174,100.35353333819359,2.2371070966581543,0.0011755044106697024,5.138877572799311e-05,15.62447435190115,0.37614353847125337,44.63073306394823,0.5876239517956346
SLR_08_01,8,80.2125,9.674999999999995,1,8,False,0.000814881720051322,1.472358176844765e-05,0.509827717859174,0.024282097565625438,741.2301406225829,19.872917371661107,179.4670400592471,4.460372818367141,67.87320207877742,1.5130470945317207,0.015103522621252327,0.0006602710544012517,140.510370433106,3.3826461445203213,12.474192507819424,0.16423961234070514
