region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight,C6_scaled_loading,C6_raw_weight
MYS_02_28,1,113.75,1.75,28,2,True,373.90139413764695,6.5648592273609845,362.39595529078315,6.814933296492544,445.82663314417596,5.239585205948614,780.0808413444922,11.545384178896947,1275.0038322242306,14.225324423151386,864.314266213512,11.678371576910594
MYS_02_29,1,114.25,1.75,29,2,True,272.8805383621729,4.791162451709541,298.23813238317473,5.608431741549134,540.0969609243049,6.347498861337962,807.773750457041,11.955245898080559,1347.1421408799758,15.030177567926039,655.4998272738114,8.85692953448627
MYS_02_30,1,114.75,1.75,30,2,True,246.35730812322407,4.325474771739343,253.22342430479185,4.761920547269627,613.007325417463,7.204379179286869,769.132266545156,11.38334263708461,1271.8862233752286,14.190541000403414,525.1508697160815,7.09569103533361
MYS_03_04,1,101.75,2.25,4,3,True,462.2117864477694,8.115389134226081,254.96002123187665,4.794577623178437,495.5227226177755,5.823639355793817,514.6853920328286,7.617467661484374,620.923657397254,6.927697192154197,78.41698900172345,1.0595483278514015
MYS_03_05,1,102.25,2.25,5,3,True,465.21517096155117,8.168121744608793,431.01083560126705,8.105250767303069,517.4434588205299,6.081263186612177,365.20488704178354,5.4051202150291395,542.0444390799876,6.047635154340364,70.4243626989309,0.9515542063979643
MYS_03_06,1,102.75,2.25,6,3,True,482.09069422982674,8.4644176033065,618.9795305814032,11.640042200310434,513.5874267029899,6.035945102552825,266.3468671075008,3.9419977297503195,475.1986473738507,5.301831063945311,59.84434632992185,0.8085999971745316
MYS_03_07,1,103.25,2.25,7,3,True,571.4440317007923,10.033259258322694,855.879064155544,16.09498849788305,479.03321402498784,5.629846121264931,184.3680900963633,2.728692101735628,381.0634970571494,4.251557316500061,42.93981519781841,0.5801907210451139
MYS_03_08,1,103.75,2.25,8,3,True,594.5967128103176,10.439767751211756,978.4234479464772,18.3994617934663,480.65563997183733,5.648913710226379,150.75149397580333,2.2311583892940416,304.57977990258854,3.3982220855665486,22.25826624702095,0.30074744112381074
MYS_03_09,1,104.25,2.25,9,3,True,569.8285375666811,10.004894850649041,976.477525786117,18.362868311863064,504.3598918948051,5.927498340349847,161.21871974553824,2.386075849631299,268.83500761710906,2.999414670764056,8.466333545509857,0.1143947206514145
MYS_03_23,1,111.25,2.25,23,3,True,346.7584117205967,6.088290106805443,990.5130212029222,18.626808799201022,110.49090111548429,1.2985462236604504,456.84145664311353,6.7613634975332015,949.8912775577768,10.598016451769155,695.7923130673506,9.401350284262604
