region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight
MYS_02_21,1,110.25,1.75,21,2,True,2297.3420403993705,9.822599468510695,1202.6778488079897,9.698312677318794
MYS_02_22,1,110.75,1.75,22,2,True,2498.3927469923055,10.682219206884593,1148.058098603463,9.257862712795403
MYS_02_23,1,111.25,1.75,23,2,True,2520.359894985142,10.776142746525046,1133.0096765739304,9.136513257255578
MYS_02_24,1,111.75,1.75,24,2,True,2652.642799793789,11.341736361936613,1123.8261930237404,9.0624582681951
MYS_02_25,1,112.25,1.75,25,2,True,2831.2204148134188,12.105269329833197,1144.0861140074207,9.22583289816126
MYS_02_26,1,112.75,1.75,26,2,True,2962.4885146804863,12.666524008201646,1147.678283408731,9.254799908802001
MYS_02_27,1,113.25,1.75,27,2,True,3043.657714980769,13.013574003243043,1133.7046500269942,9.142117476088517
MYS_02_28,1,113.75,1.75,28,2,True,3079.5870196603496,13.167194649556665,1027.6739821530668,8.287093355169116
MYS_02_29,1,114.25,1.75,29,2,True,3079.698221174881,13.16767010681045,848.7550126056027,6.844302908587923
MYS_02_30,1,114.75,1.75,30,2,True,2925.8997758262035,12.51008386106488,758.155487902058,6.113714480554337
MYS_03_04,1,101.75,2.25,4,3,True,1535.2202003706843,6.5640435159522355,895.2558807998065,7.219282758729137
MYS_03_05,1,102.25,2.25,5,3,True,1461.631549403279,6.249405194287605,930.3874831375391,7.502581619404296
MYS_03_06,1,102.75,2.25,6,3,True,1408.600677029758,6.0226644610268965,1006.9628979137673,8.12008057528122
MYS_03_07,1,103.25,2.25,7,3,True,1306.49582012933,5.586101208587502,1207.7731649323084,9.739400961278132
MYS_03_08,1,103.75,2.25,8,3,True,1251.5010886336813,5.350963727593971,1279.2619753798365,10.315881884525261
MYS_03_09,1,104.25,2.25,9,3,True,1245.418092570789,5.324955047630959,1243.1800254418472,10.024919485198781
MYS_03_23,1,111.25,2.25,23,3,True,2380.935877455908,10.180016328953284,1179.6293601231575,9.512451226368572
MYS_03_24,1,111.75,2.25,24,3,True,2536.1047412385205,10.84346198576786,1170.9313340068145,9.442310933159224
MYS_03_25,1,112.25,2.25,25,3,True,2759.389443774869,11.798146208618208,1174.0952042200554,9.467824168169646
MYS_03_26,1,112.75,2.25,26,3,True,2897.1780746420613,12.387280307294962,1158.3987867572127,9.341249321364863
MYS_03_27,1,113.25,2.25,27,3,True,2943.165477823332,12.583905726628693,1122.7743021470676,9.0539758914435
MYS_03_28,1,113.75,2.25,28,3,True,2955.8520237273215,12.63814878528621,997.7028728603985,8.045408360725688
MYS_03_29,1,114.25,2.25,29,3,True,2942.6285715498925,12.581610110571797,801.7119135981873,6.4649505459114405
MYS_03_30,1,114.75,2.25,30,3,True,2843.0830212102883,12.15598952266473,710.3443219973339,5.728168478463458
MYS_03_31,1,115.25,2.25,31,3,True,2677.4348325935644,11.447738082150657,700.9288116045021,5.652242440666444
MYS_04_03,1,101.25,2.75,3,4,True,1582.9355527488285,6.768057017932934,955.9364479468012,7.7086067403854655
MYS_04_04,1,101.75,2.75,4,4,True,1513.381586012044,6.4706695394089335,967.7433630705789,7.80381690388723
MYS_04_05,1,102.25,2.75,5,4,True,1373.0604469697723,5.870707356355937,1067.6196421047096,8.609212450234224
MYS_04_06,1,102.75,2.75,6,4,True,1241.2205177085732,5.307007743361253,1229.6204496731166,9.915575985019341
MYS_04_07,1,103.25,2.75,7,4,True,1128.0531236077727,4.823145103145074,1451.807495341819,11.707277265524768
MYS_04_08,1,103.75,2.75,8,4,True,1100.6570620065459,4.706009502354555,1491.9845699678376,12.031262472842997
MYS_04_09,1,104.25,2.75,9,4,True,1166.38024570223,4.987017945105131,1328.7991170417165,10.715346038166832
MYS_04_23,1,111.25,2.75,23,4,True,2300.898817643029,9.837806955096845,1239.1504363741892,9.992425152008902
MYS_04_24,1,111.75,2.75,24,4,True,2453.9456376462226,10.492179524084998,1241.647368207009,10.012560241112471
MYS_04_25,1,112.25,2.75,25,4,True,2639.6299811481763,11.28609827963782,1246.8648191913624,10.054633412307064
MYS_04_26,1,112.75,2.75,26,4,True,2774.8319114241754,11.864172586866264,1214.0233336712652,9.789801898467159
MYS_04_27,1,113.25,2.75,27,4,True,2828.199597638708,12.092353413677488,1153.6724910512823,9.303136793053968
MYS_04_28,1,113.75,2.75,28,4,True,2854.7762686647397,12.205985598221371,1015.3931833998813,8.188061826190955
MYS_04_29,1,114.25,2.75,29,4,True,2860.607698367862,12.230918671875736,816.0213101822637,6.580340550336713
MYS_04_30,1,114.75,2.75,30,4,True,2790.6036989719796,11.931607017290736,703.8817375701323,5.676054635558068
MYS_04_31,1,115.25,2.75,31,4,True,2658.815307734025,11.368127762149095,686.2763942998553,5.534086340394151
MYS_05_03,1,101.25,3.25,3,5,True,1554.6953691436727,6.647312258296521,1002.6996324232227,8.08570189125149
MYS_05_04,1,101.75,3.25,4,5,True,1490.4072745431602,6.372439734854264,1070.1254108257967,8.629418799405979
MYS_05_05,1,102.25,3.25,5,5,True,1264.0537889645689,5.404634511234493,1277.3943797233983,10.300821719703158
MYS_05_06,1,102.75,3.25,6,5,True,1079.8451782498496,4.617025452643049,1502.3554796950775,12.114892786133217
MYS_05_07,1,103.25,3.25,7,5,True,958.6069889074392,4.098655025751397,1734.231576473946,13.984725918244663
MYS_05_25,1,112.25,3.25,25,5,True,2583.5298738688816,11.046234613603483,1284.6721275874092,10.359508985326139
MYS_05_26,1,112.75,3.25,26,5,True,2684.9031625620046,11.479669946317436,1259.3712735498134,10.155484612795282
MYS_05_27,1,113.25,3.25,27,5,True,2718.4940590053257,11.623292409036834,1208.2066916033664,9.742896890977049
MYS_05_28,1,113.75,3.25,28,5,True,2773.757680806186,11.859579567232371,1075.8154294843625,8.675302724303442
MYS_05_29,1,114.25,3.25,29,5,True,2827.5977160231832,12.08977998667672,883.0501468864487,7.120856547532828
MYS_05_30,1,114.75,3.25,30,5,True,2775.092881587199,11.865288400419288,741.8003284954582,5.981827583352557
MYS_05_31,1,115.25,3.25,31,5,True,2632.051012875234,11.25369336629861,664.8954855343795,5.361672140915605
MYS_05_32,1,115.75,3.25,32,5,True,2602.0134692178945,11.125263748429145,654.5784094972737,5.278475938854766
MYS_06_02,1,100.75,3.75,2,6,True,1594.6764578990599,6.818256860472902,1039.8519087065145,8.385295329699382
MYS_06_03,1,101.25,3.75,3,6,True,1665.369227903493,7.12051344780823,985.010182922876,7.943055369147471
MYS_06_04,1,101.75,3.75,4,6,True,1557.8602425625563,6.66084410658709,1162.2841349449059,9.37258050587271
MYS_06_05,1,102.25,3.75,5,6,True,1204.0542636955959,5.148098351335788,1588.1193010673119,12.806486430178488
MYS_06_06,1,102.75,3.75,6,6,True,925.5160042231024,3.957170003992793,1919.4906030529519,15.478642155115306
MYS_06_07,1,103.25,3.75,7,6,True,784.1715360110081,3.352832437395313,2082.402615533434,16.792353584566623
MYS_06_27,1,113.25,3.75,27,6,True,2670.6573731388644,11.418760129165468,1231.5761136799392,9.931346327051283
