region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight
MYS_03_04,1,101.75,2.25,4,3,True,587.7699882053205,7.077117378177501,200.19410179465518,2.178067308846415,375.4864929557362,5.0306177938901815,445.4554715559629,5.153328040022213,817.6331243631636,8.731813847085895
MYS_03_05,1,102.25,2.25,5,3,True,515.5312190238493,6.207317526175266,119.70750226174401,1.3023910043433855,618.5683389133541,8.28733110472083,417.9215118016527,4.834796703188237,717.733723712722,7.6649503065529405
MYS_03_06,1,102.75,2.25,6,3,True,454.8330719193554,5.476473964379915,76.38337899617855,0.8310341775276225,816.2797335540245,10.936189262320253,435.28891809855753,5.035714522290734,631.5378163871875,6.744431561995648
MYS_03_07,1,103.25,2.25,7,3,True,372.1623283303179,4.481066631815572,52.436530064790965,0.5704977863963853,1008.0986246491675,13.506102015110708,562.2726443079301,6.504747542842715,519.9076106901938,5.552290310848008
MYS_03_08,1,103.75,2.25,8,3,True,302.9318674583395,3.6474886887968734,19.757064530154512,0.21495246855992778,1097.4132596379322,14.7027037583384,612.1412425900596,7.081660976964976,500.5744268337542,5.345823917210394
MYS_03_09,1,104.25,2.25,9,3,True,269.3310662843197,3.242914078522156,0.02293507789238056,0.0002495285472220337,1079.5769667085335,14.463740242283913,597.6528155250368,6.914049122991781,544.951887665399,5.819747631211194
MYS_03_23,1,111.25,2.25,23,3,True,868.5014277014998,10.457299063066753,1206.5547845753792,13.127047745449731,875.7022164151913,11.732307911716676,440.57327580822033,5.0968475209799005,163.7699177282498,1.748960985979441
MYS_03_24,1,111.75,2.25,24,3,True,945.0862524660863,11.379428135871338,1349.7815056450202,14.685322620276127,825.9047009949105,11.065140724974977,427.4965427710436,4.945567091542181,152.29540975521988,1.6264203688959067
MYS_03_25,1,112.25,2.25,25,3,True,1034.5078052299148,12.456119422850488,1526.643759065784,16.60954460729453,707.0046332392246,9.47216519118657,442.23002738048456,5.116013935757292,215.7364621556543,2.303931398375392
MYS_03_26,1,112.75,2.25,26,3,True,1072.390812307386,12.91225446394745,1565.5790576594613,17.03315199765635,625.718896666165,8.383131416429434,444.23019463794276,5.13915321380138,340.13167002064773,3.6323949429421463
MYS_03_27,1,113.25,2.25,27,3,True,1055.1910629242714,12.705158750144149,1457.5989767973597,15.858352730225509,584.9586837226844,7.837042392288695,432.70760931645884,5.005852208824743,528.5672988974098,5.644770401424219
MYS_03_28,1,113.75,2.25,28,3,True,1046.047113852603,12.595059898248245,1254.9135777748922,13.65318066154914,563.6407347317521,7.55143304139343,339.67899011475043,3.9296346686469152,742.3681885200501,7.928031087542234
MYS_03_29,1,114.25,2.25,29,3,True,1043.685915820435,12.56662960074735,977.5114279320273,10.635106959276909,557.2986915037825,7.46646488378781,182.06274745958515,2.1062241266220316,976.4029248181536,10.427376686705122
MYS_03_30,1,114.75,2.25,30,3,True,980.4814393765823,11.805608269962514,789.7571814355225,8.59238250972948,536.0227980348441,7.181418975949066,131.96374055980516,1.526645170880172,1108.6082574250624,11.839247511795207
MYS_03_31,1,115.25,2.25,31,3,True,764.1067483967728,9.200321990534313,686.883856126047,7.4731436070832835,507.875896994334,6.804318057877034,194.32281439249778,2.248056814134526,1222.9786820239622,13.060652598566369
MYS_04_03,1,101.25,2.75,3,4,True,761.9914565351138,9.174852556751596,333.91518871607445,3.6329229979800557,195.68323262692462,2.6216856544424476,502.5767917458291,5.8141458317294665,736.9052520205696,7.8696903193534835
MYS_04_04,1,101.75,2.75,4,4,True,653.7193708721401,7.8711890924828385,233.28918325023045,2.538134435479025,352.3992745441827,4.721304479213156,493.38079104295554,5.707760320035895,742.8049827854063,7.9326957789556785
MYS_04_05,1,102.25,2.75,5,4,True,509.2950524758467,6.13223019008171,137.9130846877025,1.500463692624493,597.8126185173141,8.009254267582412,538.4472573385074,6.229119466471716,654.6084903636055,6.99081202835187
MYS_04_06,1,102.75,2.75,6,4,True,403.8240373832848,4.8622933631186305,85.8653759703927,0.9341961960235533,809.9497888968516,10.851383196525317,633.7775087314011,7.331963833495386,536.975966643023,5.734569749406697
MYS_04_07,1,103.25,2.75,7,4,True,345.32694111535136,4.157951826670366,85.76027665282638,0.9330527388201633,969.682457477361,12.991417578325038,781.5497636324351,9.041492514462858,398.3383688351366,4.2540063277516555
MYS_04_08,1,103.75,2.75,8,4,True,287.5630428914462,3.4624384521275458,59.23897525108024,0.6445068773119293,1058.8288659900838,14.185765490537083,802.5721348565078,9.28469342232994,386.5703623032174,4.128331328383151
MYS_04_09,1,104.25,2.75,9,4,True,230.27339401828155,2.772635335660276,0.20342406047586545,0.002213208541027595,1063.7633501233975,14.251875734581581,683.939438016707,7.9122707176484575,520.3044837695569,5.556528668794448
MYS_04_23,1,111.25,2.75,23,4,True,817.6915320218161,9.845516217882654,1294.1943056137545,14.080546245282854,918.7394309431523,12.308903292018018,490.1723615867394,5.670643053469612,14.664759418225565,0.15661052070509077
