region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,K4_C1_loading,K4_C1_relative_loading,K4_C2_loading,K4_C2_relative_loading,K4_C3_loading,K4_C3_relative_loading,K4_C4_loading,K4_C4_relative_loading
SLR_03_00,9,79.90555555555557,7.272222222222216,0,3,False,0.0,0.0,1176.357267863002,0.8104621141669832,555.1013536416691,1.0,552.2434325644778,0.5126278950329419
SLR_03_01,25,80.25000000000001,7.249999999999995,1,3,False,78.43244403486598,0.11971698938217537,1216.2424032097422,0.8379413434794167,536.4942494374666,0.9664798075484178,560.4305303986037,0.5202276861425388
SLR_03_02,25,80.75000000000001,7.249999999999995,2,3,False,256.4830795399675,0.39148827360708416,1017.4264371120728,0.7009652626443945,460.4239548941891,0.8294412396468475,566.8816508123249,0.5262160312876009
SLR_03_03,25,81.25000000000001,7.249999999999995,3,3,False,501.195832671833,0.7650106651233707,580.5977412719195,0.4000081316508815,330.1052697322805,0.5946756706080222,574.2488153618647,0.5330547075537074
SLR_03_04,19,81.69210526315791,7.23947368421052,4,3,False,620.3915419705914,0.9469475107758779,360.5055554519237,0.24837360436534944,266.483057239855,0.48006198416132134,575.870002652868,0.5345595979325426
SLR_04_00,10,79.9,7.749999999999995,0,4,False,17.796370137019018,0.027163859050314355,814.4632304805045,0.5611319024582033,488.7952778713522,0.8805514068100814,569.4416037177904,0.5285923443262517
SLR_04_01,25,80.25000000000001,7.749999999999995,1,4,False,83.6821518060482,0.12772998983416642,863.9309734058608,0.5952131570307913,473.3207853825712,0.8526745292141925,600.6191017417359,0.5575333044933839
SLR_04_02,25,80.75000000000001,7.749999999999995,2,4,False,255.8453565566305,0.3905148718909399,755.4122051959364,0.520448157729189,383.4574770109033,0.6907882218180178,646.4606670591783,0.6000863956629233
SLR_04_03,25,81.25000000000001,7.749999999999995,3,4,False,506.0492184308736,0.7724187312436153,467.70647043230196,0.3222306566139956,225.8372711442271,0.4068397053306599,693.6045198110027,0.6438483538408307
SLR_04_04,9,81.6277777777778,7.661111111111107,4,4,False,655.1488175540753,1.0,351.6541074085226,0.24227531816380618,175.9657009664984,0.31699742724837304,685.0932883605432,0.6359476810481709
SLR_05_00,9,79.90555555555557,8.227777777777773,0,5,False,89.24059770014169,0.1362142391301437,367.89579908008045,0.25346518040156985,291.6824177949785,0.5254579472405075,684.6513812967023,0.6355374744715441
SLR_05_01,25,80.25000000000001,8.249999999999995,1,5,False,141.32095042160415,0.21570816680889401,378.57715035795536,0.2608241951969244,269.2108519412703,0.4849760321698876,742.2297410780252,0.6889854136115043
SLR_05_02,25,80.75000000000001,8.249999999999995,2,5,False,256.524931877635,0.39155215579162933,342.85772009968383,0.23621496655965105,190.71754152353932,0.3435724670321232,809.6233525195181,0.7515445010260692
SLR_05_03,21,81.21190476190478,8.240476190476185,3,5,False,406.49207091021157,0.6204576121007196,238.12312972460276,0.16405711123734548,66.67027064338721,0.12010468035432756,860.4461902648234,0.7987215298446685
SLR_06_00,4,79.94999999999999,8.699999999999996,0,6,False,123.31054690523365,0.18821761346620414,84.26754314942433,0.05805689567473612,150.96943781171208,0.2719673386153664,816.3306083852242,0.7577706075818639
SLR_06_01,25,80.25000000000001,8.749999999999995,1,6,False,156.45399747220378,0.23880680736982363,85.52084313745964,0.058920368180698346,135.73249695603624,0.24451840382946488,871.3653593009119,0.808857405272803
SLR_06_02,25,80.75000000000001,8.749999999999995,2,6,False,240.28152656613523,0.366758696845702,83.72656005473134,0.05768418041668363,71.69696255290334,0.1291601291954071,940.0780496215626,0.8726409465954297
SLR_06_03,6,81.08333333333336,8.666666666666663,3,6,False,319.21390988992084,0.4872387789413559,85.6772301463813,0.05902811244287234,0.0,0.0,969.1498406908279,0.8996272540494978
SLR_07_00,1,79.85000000000002,9.049999999999995,0,7,True,90.97410483173003,0.13886021373185356,29.71169920139206,0.02047014729972157,105.80027731202111,0.19059632374868546,910.9248368102213,0.8455790582402787
SLR_07_01,19,80.30789473684212,9.23947368421052,1,7,False,133.20106649099196,0.20331421338480501,0.0,0.0,68.78919632149179,0.12392186736748047,989.5856166806924,0.9185970565157786
SLR_07_02,14,80.66428571428573,9.192857142857138,2,7,False,192.24903902512543,0.29344331222769454,0.0,0.0,42.96385466362582,0.07739821634691957,1014.1965891092908,0.9414425450210913
