component_count,component,component_index,month,month_name,normalized_profile,peak_month,second_peak_month,normalized_entropy,profile_maximum
3,K3_C2,2,12,Dec,0.0521847883771524,10,9,0.9400474624631943,0.13546251683018376
3,K3_C3,3,1,Jan,0.12237941812591886,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,2,Feb,0.0053889340673676,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,3,Mar,0.0337613089868066,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,4,Apr,0.0,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,5,May,0.014146160033343864,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,6,Jun,0.01887998349350044,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,7,Jul,0.0409408800881764,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,8,Aug,0.040037121515103406,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,9,Sep,0.042571052379143444,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,10,Oct,0.08366213812835169,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,11,Nov,0.24670519168486849,12,11,0.7441756710768338,0.3515278114974192
3,K3_C3,3,12,Dec,0.3515278114974192,12,11,0.7441756710768338,0.3515278114974192
4,K4_C1,1,1,Jan,0.31422858831692635,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,2,Feb,0.20536664567161914,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,3,Mar,0.1312479940516269,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,4,Apr,0.04804738314021881,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,5,May,0.02149270424645113,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,6,Jun,0.03617725615973436,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,7,Jul,0.015593374428093602,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,8,Aug,0.016373542813603065,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,9,Sep,0.0,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,10,Oct,0.010088736478448717,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,11,Nov,0.03654964407522103,1,2,0.7648304779382308,0.31422858831692635
4,K4_C1,1,12,Dec,0.1648341306180569,1,2,0.7648304779382308,0.31422858831692635
4,K4_C2,2,1,Jan,0.0,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,2,Feb,0.03088843521073828,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,3,Mar,0.13817617427266765,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,4,Apr,0.17715182659100756,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,5,May,0.09945854144516464,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,6,Jun,0.041832821426205376,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,7,Jul,0.06319216750989085,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,8,Aug,0.07475100035177983,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,9,Sep,0.09112446721091957,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,10,Oct,0.12887217381039393,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,11,Nov,0.1258092686029743,4,3,0.9108495408356795,0.17715182659100756
4,K4_C2,2,12,Dec,0.028743123568257877,4,3,0.9108495408356795,0.17715182659100756
4,K4_C3,3,1,Jan,0.005298886016461146,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,2,Feb,0.029677493408410707,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,3,Mar,0.019292790678645748,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,4,Apr,0.03722798945737204,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,5,May,0.12872339060591573,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,6,Jun,0.11886879597364763,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,7,Jul,0.10569466390968191,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,8,Aug,0.13091796076635667,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,9,Sep,0.13762096698563098,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,10,Oct,0.13862024797659148,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,11,Nov,0.08130749348939037,10,9,0.9188083026729235,0.13862024797659148
4,K4_C3,3,12,Dec,0.06674932073189556,10,9,0.9188083026729235,0.13862024797659148
4,K4_C4,4,1,Jan,0.1192487034702773,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,2,Feb,0.00269485909679519,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,3,Mar,0.03279541486131738,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,4,Apr,0.0,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,5,May,0.014367001189920828,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,6,Jun,0.018725608703491107,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,7,Jul,0.04137864098708939,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,8,Aug,0.0404983951068779,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,9,Sep,0.04334857401824316,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,10,Oct,0.08485903514511785,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,11,Nov,0.24917698753937467,12,11,0.7396263334211672,0.3529067798814952
4,K4_C4,4,12,Dec,0.3529067798814952,12,11,0.7396263334211672,0.3529067798814952
