region_id,monthly_records,aet_exceeds_pet_records,maximum_aet_minus_pet_mm,mean_aet_minus_pet_mm,aet_exceeds_pet_percentage
MYS_05_03,360,338,69.59470732573868,23.248424899871868,93.88888888888889
MYS_05_04,360,286,57.22048845716343,12.846154100643519,79.44444444444444
MYS_05_05,360,335,65.54743303571428,22.748905300967905,93.05555555555556
MYS_05_06,360,324,70.88296315639835,21.971818131770092,90.0
MYS_05_07,360,247,68.50817180223497,12.169380446098181,68.61111111111111
MYS_05_25,360,334,47.85142364501955,17.883065921171216,92.77777777777777
MYS_05_26,360,347,48.22270985648218,20.73156162213268,96.38888888888889
MYS_05_27,360,354,53.122459435305416,24.4539064767943,98.33333333333333
MYS_05_28,360,356,54.974068995884465,24.643779892492546,98.88888888888889
MYS_05_29,360,357,63.1205001636675,24.56513408571798,99.16666666666667
MYS_05_30,360,358,67.2470820967559,26.552986312941808,99.44444444444444
MYS_05_31,360,350,52.182826223252704,19.752713042740744,97.22222222222223
MYS_05_32,360,344,52.893335149529264,19.306881651479504,95.55555555555556
MYS_06_02,360,338,62.156707763671875,23.50435534583198,93.88888888888889
MYS_06_03,360,351,72.29268085763678,28.485695167481147,97.5
MYS_06_04,360,345,68.92979173599535,24.899779473140743,95.83333333333333
MYS_06_05,360,339,69.65100896926153,25.779904507093747,94.16666666666667
MYS_06_06,360,312,73.45781848241411,21.03169343366404,86.66666666666667
MYS_06_07,360,254,73.58950763300392,14.812357853251246,70.55555555555556
MYS_06_27,360,352,54.44620100201155,22.939322732527398,97.77777777777777
MYS_06_28,360,348,50.849121070235114,19.024423520874695,96.66666666666667
MYS_06_29,360,350,55.725235493977905,19.66520190412195,97.22222222222223
MYS_06_30,360,357,62.153935023716514,23.369164998426218,99.16666666666667
MYS_06_31,360,343,47.24308706616601,16.402930633639112,95.27777777777777
MYS_06_32,360,352,54.87792085057539,20.17997156260587,97.77777777777777
MYS_07_02,360,341,60.214263455898035,23.311372096900353,94.72222222222223
MYS_07_03,360,347,68.7301253786512,26.104411935030107,96.38888888888889
MYS_07_04,360,352,72.88538813971863,30.53493831537699,97.77777777777777
MYS_07_05,360,335,68.27026028374134,24.321961139540832,93.05555555555556
MYS_07_06,360,283,66.60298433729038,17.013942244840866,78.61111111111111
MYS_07_07,360,221,69.62664763021965,11.552392777868633,61.388888888888886
MYS_07_28,360,315,45.64544737713892,12.385369189649948,87.5
MYS_07_29,360,316,42.85919092244626,12.205175503125679,87.77777777777777
MYS_07_30,360,347,51.45955576578777,17.609162121949375,96.38888888888889
MYS_07_31,360,331,43.01921518643695,13.530537137646734,91.94444444444444
MYS_07_32,360,334,48.24549162266621,15.352429470701635,92.77777777777777
MYS_07_33,360,294,54.5467503710491,12.228522965320083,81.66666666666667
MYS_07_34,360,235,53.04643271561994,6.7208774999080765,65.27777777777777
