target,depth_label,configuration,model_family,seed,test_fold,validation_fold,selected_ridge_alpha,test_rmse_mm,test_r_squared,test_p_violation,best_epoch,training_seconds
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260808,2,3,,7.485741375946927,0.7568978570426077,0.06597222222222222,33.0,0.4850189685821533
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260809,2,3,,5.62987847143332,0.8624954116886823,0.07899305555555555,46.0,0.4911186695098877
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260810,2,3,,6.288893942530519,0.8284195939044611,0.003472222222222222,76.0,0.5256140232086182
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260806,2,3,,5.898702174970305,0.8490503576574822,0.004340277777777778,56.0,0.9620044231414795
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260807,2,3,,6.097491752726007,0.8387047444113949,0.008680555555555556,55.0,0.9425339698791504
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260808,2,3,,7.443478033019483,0.7596351425393606,0.05642361111111111,33.0,0.9086341857910156
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260809,2,3,,5.698564451268439,0.8591197612397617,0.019097222222222224,43.0,0.8716742992401123
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260810,2,3,,6.300005665734453,0.8278127341534196,0.001736111111111111,76.0,1.0170814990997314
SM_10_40cm_mm,10–40 cm,Mean,Mean,-1,3,4,,23.300281377415917,-0.5072043613599664,,,
SM_10_40cm_mm,10–40 cm,Ridge,Ridge,-1,3,4,100.0,7.82806231768137,0.8298788305413008,0.0,,
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260806,3,4,,7.4878657766690715,0.8443439832595505,0.050347222222222224,233.0,0.8602395057678223
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260807,3,4,,7.100933778576321,0.860015246801464,0.029513888888888888,30.0,0.4658980369567871
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260808,3,4,,7.716403605700971,0.8346974011780318,0.15364583333333334,22.0,0.41394710540771484
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260809,3,4,,7.281742920701043,0.8527957003550419,0.1623263888888889,21.0,0.3812682628631592
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260810,3,4,,7.455639348672063,0.8456809310823654,0.04600694444444445,157.0,0.6996605396270752
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260806,3,4,,7.426352161116966,0.8468909398904659,0.04600694444444445,221.0,1.4829127788543701
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260807,3,4,,7.114680837202913,0.8594727149541621,0.0234375,30.0,0.8222451210021973
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260808,3,4,,7.420367451300183,0.8471376139124683,0.12586805555555555,23.0,0.794619083404541
