target,depth_label,configuration,test_fold,validation_fold,alpha,validation_rmse_mm,validation_r_squared,selected_alpha
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,10.0,3.4744078188218257,0.604492628035556,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,30.0,3.527732087213597,0.5922591855358534,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,100.0,3.74960936435796,0.5393563956667704,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,300.0,4.254113000237607,0.40705960430636734,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,1000.0,4.955116976052622,0.19554673584164328,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,0.0,3.621175801215601,0.621523283038829,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,0.0001,3.6211723956969863,0.6215239949119716,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,0.001,3.6211417464106717,0.6215304016604413,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,0.01,3.6208352912823334,0.6215944582755237,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,0.1,3.617774508588254,0.622233939226936,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,1.0,3.5875387534815744,0.6285219551840695,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,10.0,3.3184038934799,0.682167402381482,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,30.0,2.885415900093479,0.7596983293719369,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,100.0,2.3528987697538484,0.8402111636165044,True
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,300.0,2.970859273583142,0.7452559146837902,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,2,3,1000.0,4.493916903104054,0.41710541059656703,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,0.0,4.005569830003807,0.6245560342724024,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,0.0001,4.005567721349611,0.6245564295626203,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,0.001,4.005548744148871,0.6245599870364271,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,0.01,4.0053590401435555,0.6245955481004435,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,0.1,4.003468788004988,0.6249497943079605,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,1.0,3.985232984252657,0.6283587207691861,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,10.0,3.8593101299977026,0.651473445582009,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,30.0,3.8151942158974137,0.6593959434825543,True
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,100.0,4.423239391525964,0.5421772147184954,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,300.0,6.020260458943805,0.15189997555702683,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,3,4,1000.0,7.8437938660267905,-0.43968956836302486,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,0.0,3.5565782130012096,-0.2300593282149468,True
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,0.0001,3.556579932972632,-0.2300605179356714,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,0.001,3.556595412601442,-0.23007122536923252,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,0.01,3.5567501976060485,-0.2301782944627213,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,0.1,3.558296920547295,-0.23124846166998547,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,1.0,3.573652696300721,-0.24189825939429288,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,10.0,3.7172846266140396,-0.343732937109118,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,30.0,3.9888983169019356,-0.5472741238631091,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,100.0,4.658224932058419,-1.110096136810668,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,300.0,5.602158736651177,-2.051913020413996,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,4,0,1000.0,6.548677852703431,-3.170312357823044,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,0.0,4.7024227854116845,0.3714710729117616,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,0.0001,4.7024222698806195,0.37147121072419764,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,0.001,4.702417630082359,0.37147245104043314,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,0.01,4.702371230252007,0.37148485462941916,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,0.1,4.701907047763195,0.3716089330191018,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,1.0,4.6972474980077195,0.3728537762674372,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,10.0,4.6499632089280185,0.38541641354734657,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,30.0,4.5566772569606435,0.4098281883759871,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,100.0,4.4319635769460515,0.4416914365245441,True
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,300.0,4.662264427891475,0.38216041909052967,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,0,1,1000.0,5.334133947666576,0.19125844538678816,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,0.0,3.4081069572647196,0.6194432520527022,True
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,0.0001,3.4081070734320495,0.6194432261097005,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,0.001,3.4081081190002056,0.619442992608759,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,0.01,3.408118580834253,0.6194406562213977,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,0.1,3.4082238109141705,0.6194171553323001,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,1.0,3.409333999896207,0.6191691741434844,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,10.0,3.4242742689115686,0.6158241327794937,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,30.0,3.4693395621494556,0.6056456710492288,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,100.0,3.655053933499544,0.5622959400886578,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,300.0,4.063938003592208,0.458888026959696,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,1,2,1000.0,4.673176256801085,0.28448734654318264,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,0.0,3.257613005804448,0.6937056898386362,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,0.0001,3.2576104672103847,0.6937061672167735,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,0.001,3.2575876202507614,0.6937104635305049,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,0.01,3.2573591889564844,0.693753417808507,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,0.1,3.255078700817781,0.6941820762305704,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,1.0,3.232651031020226,0.6983817625329904,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,10.0,3.0417511423792756,0.7329532428752139,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,30.0,2.7792616080171,0.7770544515090978,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,100.0,2.7019805376650177,0.7892806675518625,True
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,300.0,3.5688375078338854,0.6323847678799901,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,2,3,1000.0,4.857404158753812,0.31899793401889254,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,0.0,3.6622369396505623,0.68615920751172,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,0.0001,3.6622363720163436,0.6861593048002145,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,0.001,3.6622312635967065,0.6861601803465688,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,0.01,3.662180207940385,0.6861689308514536,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,0.1,3.6616725009649196,0.6862559408669169,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,1.0,3.6568760472213033,0.6870773541709789,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,10.0,3.6332252487360526,0.6911119114410917,True
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,30.0,3.6874829058119207,0.6818173127302265,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,100.0,4.2380288208594745,0.5797145786916048,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,300.0,5.580520781185886,0.27127113304757045,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,3,4,1000.0,7.367239692785503,-0.2700654843086401,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,0.0,4.029189346410768,-0.578689372120335,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,0.0001,4.029187483583029,-0.5786879123598618,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,0.001,4.029170719095335,-0.5786747752997827,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,0.01,4.0290031694108706,-0.5785434822971909,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,0.1,4.027337151457487,-0.5772382770467195,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,1.0,4.011586201706696,-0.5649252179106972,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,10.0,3.9181124785320685,-0.4928464162364321,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,30.0,3.898134337523482,-0.47766142064245987,True
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,100.0,4.210728156596098,-0.7241527538072252,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,300.0,4.9977980827483295,-1.428950943113663,False
SM_0_10cm_mm,0–10 cm,ONLY_C2,4,0,1000.0,6.084508678324245,-2.600081736187333,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,0.0,4.84387874447505,0.33308812563339896,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,0.0001,4.843877178722872,0.3330885567831474,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,0.001,4.843863087116799,0.33309243707958214,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,0.01,4.843722187242744,0.3331312349660036,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,0.1,4.842314804962346,0.33351870678908957,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,1.0,4.828400456200651,0.33734345988743497,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,10.0,4.703340054951622,0.3712258432945921,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,30.0,4.492530870190407,0.4263274572319765,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,100.0,4.119669193144367,0.5176007635100367,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,300.0,4.026870774057772,0.5390887486111715,True
SM_0_10cm_mm,0–10 cm,ONLY_C3,0,1,1000.0,4.725021924703929,0.3654153245959143,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,0.0,3.0403710066870038,0.6971370416151992,True
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,0.0001,3.0403711065740278,0.6971370217149437,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,0.001,3.0403720056125625,0.6971368426015927,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,0.01,3.040381001473587,0.6971350503742606,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,0.1,3.04047150638258,0.6971170189678899,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,1.0,3.041429935726164,0.6969260369510778,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,10.0,3.0552778172807606,0.6941599125154171,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,30.0,3.1000482891975465,0.6851309939859098,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,100.0,3.253075254641041,0.653278146482245,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,300.0,3.511103668836248,0.5960940036483033,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,1,2,1000.0,4.139793083315214,0.4384993483243462,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,0.0,3.4430131496628804,0.6578493955321447,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,0.0001,3.4430114067285498,0.6578497419414426,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,0.001,3.4429957204634314,0.6578528595886406,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,0.01,3.4428388720525622,0.6578840324492727,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,0.1,3.441271811042659,0.6581954002493244,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,1.0,3.4257425845948326,0.661273323097775,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,10.0,3.2837346480583447,0.6887738648427224,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,30.0,3.0411823706985563,0.7330531027421641,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,100.0,2.6921671465077845,0.7908085216782172,True
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,300.0,3.0503559447115345,0.7314402099604173,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,2,3,1000.0,4.365964766068983,0.4498255702589993,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,3,4,0.0,4.27986366255912,0.5713761004875233,False
SM_0_10cm_mm,0–10 cm,ONLY_C3,3,4,0.0001,4.279862221815286,0.5713763890654713,False
