target,depth_label,alpha,validation_fold,validation_region_count,validation_sample_count,validation_rmse_mm
SM_100_200cm_mm,100–200 cm,1000.0,0,6,72,57.83201519490091
SM_100_200cm_mm,100–200 cm,1000.0,1,7,84,43.254053805773694
SM_100_200cm_mm,100–200 cm,1000.0,2,6,72,39.72845216317926
SM_100_200cm_mm,100–200 cm,1000.0,3,6,72,46.7448599473446
SM_100_200cm_mm,100–200 cm,1000.0,4,8,96,63.201530129529154
SM_100_200cm_mm,100–200 cm,3000.0,0,6,72,69.52222052690584
SM_100_200cm_mm,100–200 cm,3000.0,1,7,84,47.623278126385166
SM_100_200cm_mm,100–200 cm,3000.0,2,6,72,44.67671838447983
SM_100_200cm_mm,100–200 cm,3000.0,3,6,72,53.48809241201698
SM_100_200cm_mm,100–200 cm,3000.0,4,8,96,72.74813420807375
SM_100_200cm_mm,100–200 cm,10000.0,0,6,72,76.63944575486182
SM_100_200cm_mm,100–200 cm,10000.0,1,7,84,51.266124501257686
SM_100_200cm_mm,100–200 cm,10000.0,2,6,72,49.081581488645234
SM_100_200cm_mm,100–200 cm,10000.0,3,6,72,58.481699811088205
SM_100_200cm_mm,100–200 cm,10000.0,4,8,96,79.4568193807773
