region_id,native_cell_count,longitude_mean,latitude_mean,longitude_min_native,longitude_max_native,latitude_min_native,latitude_max_native,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,region_center_lon,region_center_lat,corrected_aet_records,small_region_lt_4_cells,very_small_region_lt_2_cells
MYS_07_32,1,115.75,4.25,115.75,115.75,4.25,4.25,32,7,115.5,116.0,4.0,4.5,115.75,4.25,0,True,True
MYS_07_33,1,116.25,4.25,116.25,116.25,4.25,4.25,33,7,116.0,116.5,4.0,4.5,116.25,4.25,0,True,True
MYS_07_34,1,116.75,4.25,116.75,116.75,4.25,4.25,34,7,116.5,117.0,4.0,4.5,116.75,4.25,0,True,True
MYS_07_35,1,117.25,4.25,117.25,117.25,4.25,4.25,35,7,117.0,117.5,4.0,4.5,117.25,4.25,0,True,True
MYS_07_36,1,117.75,4.25,117.75,117.75,4.25,4.25,36,7,117.5,118.0,4.0,4.5,117.75,4.25,0,True,True
MYS_07_37,1,118.25,4.25,118.25,118.25,4.25,4.25,37,7,118.0,118.5,4.0,4.5,118.25,4.25,0,True,True
MYS_07_38,1,118.75,4.25,118.75,118.75,4.25,4.25,38,7,118.5,119.0,4.0,4.5,118.75,4.25,0,True,True
MYS_06_02,1,100.75,3.75,100.75,100.75,3.75,3.75,2,6,100.5,101.0,3.5,4.0,100.75,3.75,0,True,True
MYS_06_03,1,101.25,3.75,101.25,101.25,3.75,3.75,3,6,101.0,101.5,3.5,4.0,101.25,3.75,0,True,True
MYS_06_04,1,101.75,3.75,101.75,101.75,3.75,3.75,4,6,101.5,102.0,3.5,4.0,101.75,3.75,0,True,True
MYS_06_05,1,102.25,3.75,102.25,102.25,3.75,3.75,5,6,102.0,102.5,3.5,4.0,102.25,3.75,0,True,True
MYS_06_06,1,102.75,3.75,102.75,102.75,3.75,3.75,6,6,102.5,103.0,3.5,4.0,102.75,3.75,0,True,True
MYS_06_07,1,103.25,3.75,103.25,103.25,3.75,3.75,7,6,103.0,103.5,3.5,4.0,103.25,3.75,0,True,True
MYS_06_27,1,113.25,3.75,113.25,113.25,3.75,3.75,27,6,113.0,113.5,3.5,4.0,113.25,3.75,0,True,True
MYS_06_28,1,113.75,3.75,113.75,113.75,3.75,3.75,28,6,113.5,114.0,3.5,4.0,113.75,3.75,0,True,True
MYS_06_29,1,114.25,3.75,114.25,114.25,3.75,3.75,29,6,114.0,114.5,3.5,4.0,114.25,3.75,0,True,True
MYS_06_30,1,114.75,3.75,114.75,114.75,3.75,3.75,30,6,114.5,115.0,3.5,4.0,114.75,3.75,0,True,True
MYS_06_31,1,115.25,3.75,115.25,115.25,3.75,3.75,31,6,115.0,115.5,3.5,4.0,115.25,3.75,0,True,True
MYS_06_32,1,115.75,3.75,115.75,115.75,3.75,3.75,32,6,115.5,116.0,3.5,4.0,115.75,3.75,0,True,True
MYS_05_03,1,101.25,3.25,101.25,101.25,3.25,3.25,3,5,101.0,101.5,3.0,3.5,101.25,3.25,0,True,True
MYS_05_04,1,101.75,3.25,101.75,101.75,3.25,3.25,4,5,101.5,102.0,3.0,3.5,101.75,3.25,0,True,True
MYS_05_05,1,102.25,3.25,102.25,102.25,3.25,3.25,5,5,102.0,102.5,3.0,3.5,102.25,3.25,0,True,True
MYS_05_06,1,102.75,3.25,102.75,102.75,3.25,3.25,6,5,102.5,103.0,3.0,3.5,102.75,3.25,0,True,True
MYS_05_07,1,103.25,3.25,103.25,103.25,3.25,3.25,7,5,103.0,103.5,3.0,3.5,103.25,3.25,0,True,True
MYS_05_25,1,112.25,3.25,112.25,112.25,3.25,3.25,25,5,112.0,112.5,3.0,3.5,112.25,3.25,0,True,True
MYS_05_26,1,112.75,3.25,112.75,112.75,3.25,3.25,26,5,112.5,113.0,3.0,3.5,112.75,3.25,0,True,True
MYS_05_27,1,113.25,3.25,113.25,113.25,3.25,3.25,27,5,113.0,113.5,3.0,3.5,113.25,3.25,0,True,True
MYS_05_28,1,113.75,3.25,113.75,113.75,3.25,3.25,28,5,113.5,114.0,3.0,3.5,113.75,3.25,0,True,True
MYS_05_29,1,114.25,3.25,114.25,114.25,3.25,3.25,29,5,114.0,114.5,3.0,3.5,114.25,3.25,0,True,True
MYS_05_30,1,114.75,3.25,114.75,114.75,3.25,3.25,30,5,114.5,115.0,3.0,3.5,114.75,3.25,0,True,True
MYS_05_31,1,115.25,3.25,115.25,115.25,3.25,3.25,31,5,115.0,115.5,3.0,3.5,115.25,3.25,0,True,True
MYS_05_32,1,115.75,3.25,115.75,115.75,3.25,3.25,32,5,115.5,116.0,3.0,3.5,115.75,3.25,0,True,True
MYS_04_03,1,101.25,2.75,101.25,101.25,2.75,2.75,3,4,101.0,101.5,2.5,3.0,101.25,2.75,0,True,True
MYS_04_04,1,101.75,2.75,101.75,101.75,2.75,2.75,4,4,101.5,102.0,2.5,3.0,101.75,2.75,0,True,True
MYS_04_05,1,102.25,2.75,102.25,102.25,2.75,2.75,5,4,102.0,102.5,2.5,3.0,102.25,2.75,0,True,True
MYS_04_06,1,102.75,2.75,102.75,102.75,2.75,2.75,6,4,102.5,103.0,2.5,3.0,102.75,2.75,0,True,True
MYS_04_07,1,103.25,2.75,103.25,103.25,2.75,2.75,7,4,103.0,103.5,2.5,3.0,103.25,2.75,0,True,True
MYS_04_08,1,103.75,2.75,103.75,103.75,2.75,2.75,8,4,103.5,104.0,2.5,3.0,103.75,2.75,0,True,True
MYS_04_09,1,104.25,2.75,104.25,104.25,2.75,2.75,9,4,104.0,104.5,2.5,3.0,104.25,2.75,0,True,True
MYS_04_23,1,111.25,2.75,111.25,111.25,2.75,2.75,23,4,111.0,111.5,2.5,3.0,111.25,2.75,0,True,True
MYS_04_24,1,111.75,2.75,111.75,111.75,2.75,2.75,24,4,111.5,112.0,2.5,3.0,111.75,2.75,0,True,True
MYS_04_25,1,112.25,2.75,112.25,112.25,2.75,2.75,25,4,112.0,112.5,2.5,3.0,112.25,2.75,0,True,True
