region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,small_region_lt_4_cells,very_small_region_lt_2_cells,precipitation_peak_month,soil_moisture_peak_month,runoff_peak_month,aet_peak_month,pet_peak_month,peak_month_forward_lag,peak_month_shortest_signed_lag,best_precipitation_lag_0_to_6,best_lag_correlation,corr_precipitation_soil_moisture,corr_precipitation_runoff,corr_soil_moisture_runoff,corr_precipitation_aet,corr_pet_aet,precipitation_mean_mm,precipitation_amplitude_mm,precipitation_seasonality_ratio,soil_moisture_mean_mm,soil_moisture_amplitude_mm,soil_moisture_seasonality_ratio,runoff_mean_mm,runoff_amplitude_mm,runoff_control_class,corr_precipitation_lag_0_soil_moisture,corr_precipitation_lag_1_soil_moisture,corr_precipitation_lag_2_soil_moisture,corr_precipitation_lag_3_soil_moisture,corr_precipitation_lag_4_soil_moisture,corr_precipitation_lag_5_soil_moisture,corr_precipitation_lag_6_soil_moisture,asynchrony_rank
SLR_04_04,9,81.6277777777778,7.661111111111107,4,4,81.5,82.0,7.5,8.0,False,False,11,12,12,1,8,1,1,1,0.9282818855862041,0.6113058323030349,0.7228990294584775,0.8721612788322679,0.5819577574634504,-0.8719066688537578,156.02309248196005,275.7300587701393,1.7672387746193416,643.9404577935685,271.63715292735867,0.4218358229239246,35.094574022890434,176.30974959148992,mixed,0.6113058323030349,0.9282818855862041,0.8605356130047458,0.5170010320478421,0.07022137012279703,-0.319416608407144,-0.5624423594930124,2
SLR_03_00,9,79.90555555555557,7.272222222222216,0,3,79.5,80.0,7.0,7.5,False,False,10,11,11,12,3,1,1,1,0.9258598024600279,0.4252198394602287,0.8408165326139445,0.6630076741615919,0.22929758315724097,-0.48382626001917745,190.2498478530115,260.42673428809286,1.3688669779610052,733.8255570781612,224.2917785808121,0.30564727055005303,32.47726047073327,127.78806293848803,precipitation-dominant,0.4252198394602287,0.9258598024600279,0.6315543100411278,-0.12021070865584088,-0.6350511855725121,-0.5131856360854086,0.05501546736467351,2
SLR_03_01,25,80.25000000000001,7.249999999999995,1,3,80.0,80.5,7.0,7.5,False,False,10,11,11,1,3,1,1,1,0.8735384123107254,0.4660197787543829,0.8644479832153401,0.6996668087471936,-0.201930668149872,-0.13948674164115588,199.97725496580884,247.75551549879245,1.2389184737091852,764.4794796867209,220.06492942994873,0.28786244140932343,58.91585557533667,166.90719307909484,precipitation-dominant,0.4660197787543829,0.8735384123107254,0.5978534758579469,-0.09379471585292533,-0.6132386611668293,-0.5538956210583944,-0.050821359607397115,2
SLR_03_02,25,80.75000000000001,7.249999999999995,2,3,80.5,81.0,7.0,7.5,False,False,11,12,11,2,3,1,1,1,0.8678672794487537,0.48616211036014007,0.5786664698619093,0.952116362467755,-0.4054495285504034,0.13220590702373408,192.69194238790485,221.80859576429066,1.1511046752425775,754.8041496874747,167.8723231244404,0.22240514071623432,64.31621554262922,168.56479827159683,storage-dominant,0.48616211036014007,0.8678672794487537,0.6454488285428954,0.037516362145072896,-0.48108312689165883,-0.5067724765748831,-0.1339822192835509,2
SLR_03_03,25,81.25000000000001,7.249999999999995,3,3,81.0,81.5,7.0,7.5,False,False,11,12,12,2,8,1,1,1,0.9025184512555782,0.5124701301711261,0.5936852815761161,0.9018910217514726,0.041349993572761284,-0.4581412148830758,165.84368416370643,237.87013508577937,1.4343032493837673,676.428974237986,265.1959899770219,0.3920529724140982,41.86779917730212,169.48369647483895,storage-dominant,0.5124701301711261,0.9025184512555782,0.8305881169663384,0.42328072427871105,-0.034242481166437175,-0.30585618366890466,-0.3628983067347425,2
SLR_03_04,19,81.69210526315791,7.23947368421052,4,3,81.5,82.0,7.0,7.5,False,False,11,1,12,2,8,2,2,1,0.8872576356474281,0.49947229277950783,0.5897347750286683,0.8865067663763387,0.42647328156949965,-0.7184298563221742,151.95851467009683,256.6037727459222,1.6886435965961568,633.3302758410947,289.20508505376523,0.45664181247246743,32.71754496415431,125.93499434925899,storage-dominant,0.49947229277950783,0.8872576356474281,0.8860370591784612,0.5845315545678863,0.16041034600328477,-0.22905226940344903,-0.48022481664655764,1
SLR_02_00,4,79.94999999999999,6.799999999999994,0,2,79.5,80.0,6.5,7.0,False,False,10,11,11,1,3,1,1,1,0.8511168849347643,0.5241883653891896,0.9076734477762435,0.7127197950984988,0.17533001168598947,-0.46323433236292527,216.3907596419284,259.4795245985699,1.199124791779198,810.4678397844823,196.17820590356678,0.2420555095137816,83.52576648678077,209.13624242857313,precipitation-dominant,0.5241883653891896,0.8511168849347643,0.5281141746959216,-0.14009160848514782,-0.6049940031940414,-0.5170079706059284,-0.05121458618762954,2
SLR_02_01,25,80.25000000000001,6.749999999999995,1,2,80.0,80.5,6.5,7.0,False,False,11,11,11,1,3,0,0,1,0.8219500694515345,0.5649017225675749,0.9256496953723357,0.7569297687078939,-0.3567364039028146,0.2581005600769061,219.99913086766696,237.82464637282536,1.0810253905770233,822.6136453932259,172.83103392150133,0.21009988697535478,122.98473896993295,225.8776037547363,precipitation-dominant,0.5649017225675749,0.8219500694515345,0.44874221788577523,-0.2101429774965972,-0.6348809677315147,-0.49607514574934697,0.006759658131292241,2
SLR_02_02,25,80.75000000000001,6.749999999999995,2,2,80.5,81.0,6.5,7.0,False,False,11,11,11,1,3,0,0,1,0.9368972999671201,0.552576758861028,0.7927976372826424,0.8758298334139759,-0.31716591162927926,0.18457426843947436,198.23131841276518,224.38796014274706,1.131950097186548,776.2326611374391,156.82721809922737,0.20203635578722404,65.46745452642382,145.87792036762914,mixed,0.552576758861028,0.9368972999671201,0.5309789282185294,-0.2682759226775793,-0.7624578434138725,-0.5105726627475742,0.18818428827810615,2
SLR_02_03,25,81.25000000000001,6.749999999999995,3,2,81.0,81.5,6.5,7.0,False,False,11,12,12,1,3,1,1,1,0.9031997483408939,0.5126218615835633,0.655353619871614,0.8912771734620707,0.319289624869799,-0.5275503395010411,153.08698853796548,238.80649169971326,1.559939835386398,669.9473113733715,257.0063565185533,0.38362174480810757,28.757480332274152,104.16766156882333,storage-dominant,0.5126218615835633,0.9031997483408939,0.7297470638159922,0.2514321485810752,-0.1853729112251709,-0.33117895167377337,-0.20437028258673826,2
SLR_02_04,15,81.6566666666667,6.77666666666666,4,2,81.5,82.0,6.5,7.0,False,False,11,1,1,2,8,2,2,2,0.8797579228182187,0.34986133850780793,0.5311475083813602,0.8200142208094531,0.38449705759486824,-0.5830767401755463,131.68314381446623,255.3240065039964,1.9389270267099092,591.6950338990138,313.32941921427647,0.5295454605213964,19.909130133157493,77.56837598788378,storage-dominant,0.34986133850780793,0.8146485381459064,0.8797579228182187,0.6065933090677563,0.193699599003655,-0.18304636736589783,-0.40104255843792064,1
SLR_01_01,22,80.27272727272728,6.272727272727267,1,1,80.0,80.5,6.0,6.5,False,False,11,11,11,5,3,0,0,1,0.9158687653608375,0.5460038167696453,0.9335823672854736,0.746718140895104,0.054557402416462626,0.05000162716931028,216.5538799123045,233.80384495181067,1.0796566888872723,813.835146194373,158.18679124060827,0.19437203219880061,99.62626586539336,194.30649163112102,precipitation-dominant,0.5460038167696453,0.9158687653608375,0.5302934595202291,-0.21486507137532027,-0.6704639063447363,-0.46183082363761363,0.13285751410191565,2
SLR_01_02,24,80.74166666666667,6.258333333333328,2,1,80.5,81.0,6.0,6.5,False,False,11,12,11,1,3,1,1,1,0.8659819638810246,0.35167739996692926,0.7412339001726936,0.8026577369054018,-0.037285189634064166,0.009663981057437581,193.0058537138796,220.9278974498363,1.144669413899485,710.9422534052314,151.36251711830334,0.21290409508411637,39.76117206390299,101.42290851605502,mixed,0.35167739996692926,0.8659819638810246,0.6226586662521028,-0.08637716649459147,-0.6062225097186317,-0.42699396026292424,0.21662995948899816,2
SLR_01_03,16,81.21875000000001,6.331249999999994,3,1,81.0,81.5,6.0,6.5,False,False,11,12,12,1,3,1,1,1,0.8210073598483104,0.39684592081242287,0.5475881909242343,0.8984471327517706,0.42401621840210313,-0.5216803932732673,150.18352855179404,233.45931236034295,1.5544934561837083,619.2950007352483,204.44554568176716,0.3301262652516852,10.601348556831367,34.68357063278686,storage-dominant,0.39684592081242287,0.8210073598483104,0.7040114630663806,0.2634706637766327,-0.17983269183684958,-0.34489710423839515,-0.21368697416424,2
SLR_01_04,2,81.60000000000002,6.449999999999989,4,1,81.5,82.0,6.0,6.5,True,False,11,1,1,1,8,2,2,2,0.8395698579708568,0.27361725226979,0.31404888759020066,0.7684151978095995,0.4404666426767095,-0.4823717411210023,119.56420001944446,254.55906563333335,2.1290575740224496,555.9980595138888,269.54237983333337,0.4847901448954611,12.788779108989985,63.088422344479504,storage-dominant,0.27361725226979,0.7254409586869979,0.8395698579708568,0.6396100885823282,0.23435383947845803,-0.17109300477119868,-0.4035479233149367,1
SLR_00_02,1,80.55000000000001,5.949999999999989,2,0,80.5,81.0,5.5,6.0,True,True,11,12,11,1,3,1,1,1,0.8151695387810725,0.2911244324538202,0.7671884282254,0.7699061047822429,-0.06069165007640856,-0.1601463981730743,188.9620529861111,215.09790076666664,1.1383126790143232,722.929845888889,200.4425583333334,0.27726419025746035,29.32192231102511,85.60212512433333,mixed,0.2911244324538202,0.8151695387810725,0.6942385855575373,0.1169190873580503,-0.39549124244022554,-0.4383745052520122,-0.09248064116384452,2
