model_family,lambda_precipitation,lambda_pet,seed,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_mae_mm,core_test_r_squared,validation_precipitation_violation_fraction,test_precipitation_violation_fraction,validation_pet_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_PET,0.1,0.1,20260810,,497,697,2.9655921459198,23.4683910030565,23.89187273230097,16.002070571437027,0.962023398138384,0.16483376242897727,18.223848021110523,13.306727968413254,0.9785056084124467,0.07575757575757576,0.054924242424242424,0.22727272727272727,0.18181818181818182,0.002666850108653307,0.005779571365565062
PINN_P,1.0,0.0,20260806,,1064,1264,5.312642335891724,23.905241320510957,23.78411957120518,16.559893521395598,0.9623651772187596,-0.5024982799183239,17.441377266960654,13.899451420224946,0.9803117761176235,0.07481060606060606,0.0625,0.3181818181818182,0.24242424242424243,0.002834793645888567,0.021077977493405342
PINN_P,1.0,0.0,20260807,,479,679,2.7514617443084717,23.750941695414884,24.23960665969155,18.21571396336411,0.9609098935976275,-2.356787479285038,19.087756406222145,15.729641618399784,0.9764194052446308,0.04450757575757576,0.035037878787878785,0.5,0.45454545454545453,0.0017575789242982864,0.02190501056611538
PINN_P,1.0,0.0,20260808,,487,687,2.8324875831604004,23.83217844556738,24.41691741239319,18.336355035955254,0.9603359200600438,-1.1654667709812974,20.376888232494046,16.234397625101025,0.9731267177535188,0.04450757575757576,0.043560606060606064,0.36363636363636365,0.42424242424242425,0.0014883698895573616,0.024556517601013184
PINN_P,1.0,0.0,20260809,,575,775,3.292083263397217,24.91143859307493,25.058007869715478,18.747018987482246,0.9582257367895084,-0.33330882679332385,20.61930756554665,16.209504752323546,0.9724835032959519,0.056818181818181816,0.04071969696969697,0.2727272727272727,0.2878787878787879,0.0017045363783836365,0.013148575089871883
PINN_P,1.0,0.0,20260810,,549,749,3.009535789489746,23.434823922005812,23.78815732874432,16.21142716841264,0.9623523978356185,0.322428847804214,18.185786399898575,13.517137724777747,0.9785952993549965,0.06628787878787878,0.052083333333333336,0.3939393939393939,0.3484848484848485,0.002566221635788679,0.021427391096949577
PINN_P_PET,1.0,1.0,20260806,,721,921,3.8438661098480225,24.639250536499613,24.279393071679362,17.067236235647492,0.9607814648254679,0.48361437248461175,18.300818752846524,14.438632833546606,0.9783236563995357,0.07481060606060606,0.0634469696969697,0.045454545454545456,0.0,0.0027633439749479294,0.0
PINN_P_PET,1.0,1.0,20260807,,541,741,3.0763533115386963,23.81170156802704,24.115335810518285,17.700283166133996,0.9613096780064985,-2.240974195075758,18.103528282086163,14.82758304990571,0.9787884973083854,0.052083333333333336,0.04450757575757576,0.16666666666666666,0.10606060606060606,0.0023386264219880104,0.0012503720354288816
PINN_P_PET,1.0,1.0,20260808,,603,803,3.2807810306549072,23.754591373867203,23.566608996095702,17.58937812573982,0.9630503857453867,-0.3335760867956913,18.621614096652152,14.961039049872037,0.9775570660420748,0.07481060606060606,0.07954545454545454,0.07575757575757576,0.07575757575757576,0.0025573752354830503,0.001626189099624753
PINN_P_PET,1.0,1.0,20260809,,549,749,3.054400682449341,24.876496427766046,24.38928972367067,18.346839673591383,0.9604256289182671,-0.6989505652225378,20.030338949179914,15.854360646214978,0.9740330116207886,0.06439393939393939,0.04734848484848485,0.10606060606060606,0.07575757575757576,0.002051349263638258,0.0018616407178342342
