configuration,model_family,lambda_precipitation,lambda_pet,seed,test_fold,validation_fold,train_region_count,validation_region_count,test_region_count,test_sample_count,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_r_squared,test_precipitation_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_lambda10,PINN_P,10.0,0.0,20260807,2,3,21,6,6,72,,109,309,1.2431824207305908,29.19838488022016,66.44720722322332,58.30794694688585,0.5800860484973243,58.04207102457682,66.44720722322332,0.5800860484973243,0.006944444444444444,0.5555555555555556,0.00026195577811449766,0.010791813023388386
PINN_P_lambda10,PINN_P,10.0,0.0,20260808,2,3,21,6,6,72,,59,259,0.9755992889404297,29.22932571567046,64.9257325847276,56.23698170979818,0.599095845340823,53.70458221435547,64.9257325847276,0.599095845340823,0.009548611111111112,0.0,0.00013704477169085294,0.0
PINN_P_lambda10,PINN_P,10.0,0.0,20260809,2,3,21,6,6,72,,102,302,1.2267358303070068,28.884402419330396,65.24044103060005,58.410164727105034,0.5951998953245979,57.56230672200521,65.24044103060005,0.5951998953245979,0.0,0.4583333333333333,0.0,0.009614767506718636
PINN_P_lambda10,PINN_P,10.0,0.0,20260810,2,3,21,6,6,72,,79,279,1.1441700458526611,31.44439414581264,74.59533564734438,65.97650655110677,0.47078738930615527,65.90621100531683,74.59533564734438,0.47078738930615527,0.003472222222222222,0.8333333333333334,1.2031668120471295e-05,0.04701699689030647
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260806,2,3,21,6,6,72,,667,867,3.5393612384796143,26.31311622803288,54.13277587266529,45.827171325683594,0.7213061178061786,43.50494469536675,54.13277587266529,0.7213061178061786,0.059895833333333336,0.027777777777777776,0.0017889444716274738,0.00031803533784113824
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260807,2,3,21,6,6,72,,127,327,1.2112836837768555,28.97752801526621,66.54926161824918,58.27853647867838,0.5787951899270031,58.01805199517144,66.54926161824918,0.5787951899270031,0.0078125,0.25,0.0003014930698554963,0.004985656123608351
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260808,2,3,21,6,6,72,,59,259,1.067596197128296,29.053845265728004,64.50228473577808,55.9307615492079,0.6043082133310519,53.27583736843533,64.50228473577808,0.6043082133310519,0.008680555555555556,0.0,0.00018320634262636304,0.0
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260809,2,3,21,6,6,72,,106,306,1.1826205253601074,28.65907309951755,65.07633048947862,58.203464084201386,0.5972338610453582,57.304846869574654,65.07633048947862,0.5972338610453582,0.0,0.3611111111111111,0.0,0.00691800145432353
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260810,2,3,21,6,6,72,,97,297,1.1349070072174072,31.154790157587534,72.28138793081489,63.305352952745224,0.5031105154841947,63.090887281629776,72.28138793081489,0.5031105154841947,0.001736111111111111,0.4861111111111111,1.3302273146109655e-05,0.012354938313364983
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260806,2,3,21,6,6,72,,703,903,3.6084494590759277,26.9697683371045,55.31455997275843,46.5589853922526,0.7090048414093897,45.068734063042534,55.31455997275843,0.7090048414093897,0.034722222222222224,0.05555555555555555,0.0007925105164758861,0.0005398905486799777
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260807,2,3,21,6,6,72,,125,325,1.3118727207183838,29.092685820423405,66.3408004224835,57.820149739583336,0.5814298498694064,57.55084737141927,66.3408004224835,0.5814298498694064,0.0078125,0.027777777777777776,0.000287201110040769,0.0004560740489978343
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260808,2,3,21,6,6,72,,60,260,0.995532751083374,29.339175992588956,65.35488542117332,56.62586127387153,0.5937784538409789,54.09458753797743,65.35488542117332,0.5937784538409789,0.009548611111111112,0.0,0.00014276259753387421,0.0
