suspect_grid_id,month,variable,suspect_climatology,neighbour_median_climatology,suspect_standard_deviation,neighbour_standard_deviation
SL_7.9500_79.7500,6,PET_mm,137.89719166666666,137.36655000000002,7.1749070139485065,7.336371705355309
SL_7.9500_79.7500,6,actual_evapotranspiration_mm_raw,0.0,74.55880575,0.0,22.075498617614468
SL_7.9500_79.7500,6,total_runoff_mm,2.9425002e-20,0.8578681996666666,0.0,0.7914435919026868
SL_7.9500_79.7500,6,soil_moisture_total_mm,165.7998743333333,563.8718603333333,9.352607359626793e-06,93.06977441072522
SL_7.9500_79.7500,7,precipitation_mm,62.27743719999999,68.83589031666666,28.712132975831008,30.541359357735764
SL_7.9500_79.7500,7,PET_mm,136.9350885,137.53436666666667,7.31232264858569,7.534975702925537
SL_7.9500_79.7500,7,actual_evapotranspiration_mm_raw,-3.334038333333333e-06,56.26177416666666,1.8261280027535946e-05,15.678467015600864
SL_7.9500_79.7500,7,total_runoff_mm,1.5564425333362726e-08,0.31683077533333326,8.524986849670977e-08,0.3291937761292842
SL_7.9500_79.7500,7,soil_moisture_total_mm,165.79992066666662,531.2075436666667,0.000249315384443498,85.85520770863718
SL_7.9500_79.7500,8,precipitation_mm,57.05875796666666,63.33612231666666,26.742774951058102,29.841619955478816
SL_7.9500_79.7500,8,PET_mm,145.56736899999999,146.61751666666666,6.616436236829462,6.9201505196946345
SL_7.9500_79.7500,8,actual_evapotranspiration_mm_raw,0.0,43.79872666666667,0.0,12.136810487038424
SL_7.9500_79.7500,8,total_runoff_mm,3.0405835000000006e-20,0.27382925138333325,6.121419402278633e-36,0.3237458167082335
SL_7.9500_79.7500,8,soil_moisture_total_mm,165.79987499999996,507.40859433333327,8.20008410646083e-06,78.98652798753469
SL_7.9500_79.7500,9,precipitation_mm,143.59796083333333,147.90169994999997,61.15919929800677,62.27033852858355
SL_7.9500_79.7500,9,PET_mm,142.89912333333334,144.18418333333332,7.042718745051435,7.378050331760313
SL_7.9500_79.7500,9,actual_evapotranspiration_mm_raw,-2.3036518002000002e-05,54.40964683333334,0.00012608813215963854,13.311240859321774
SL_7.9500_79.7500,9,total_runoff_mm,3.2765457236079667e-10,1.7939237913333335,1.7503529479354802e-09,1.968831878395133
SL_7.9500_79.7500,9,soil_moisture_total_mm,165.79987499999996,503.90818783333344,8.20008410646083e-06,71.79000417063806
SL_7.9500_79.7500,10,precipitation_mm,270.30313199999995,273.0871304,103.81213931301022,104.51359026602395
