region_id,native_cell_count,longitude_mean,latitude_mean,small_region_lt_4_cells,mean_observed_precipitation_mm,rmse_mm,normalized_rmse_by_mean,mae_mm,maximum_absolute_error_mm,mean_bias_mm,r_squared
MYS_02_07,1,103.25,1.75,True,209.46090182135006,23.431030081181536,0.1118635023407182,17.944543108887895,55.65505860981382,-0.5421923181760407,0.8476557267264133
MYS_09_01,1,100.25,5.25,True,228.61642220559304,25.452232125367885,0.1113316002403313,18.922381361762966,58.63163171045585,1.0763081712006723,0.8916264675008597
MYS_10_01,1,100.25,5.75,True,217.5567944199175,23.457700769342114,0.1078233425524059,18.6162040323156,48.95578971899715,0.875225658245963,0.9203829366025594
MYS_09_38,1,118.75,5.25,True,188.58268156786764,20.3078323300352,0.10768662403777922,16.370416795729216,39.485844696173785,-0.31926466473205295,0.7428756705426403
MYS_09_39,1,119.25,5.25,True,164.0573215882346,17.594074291104565,0.10724345686481283,14.443463545974735,37.36301737331617,-0.5403033798932432,0.7304660007712378
MYS_04_06,1,102.75,2.75,True,206.05496240409948,21.51459045274753,0.10441190157097374,17.22149206926794,42.102652104129504,-0.3443595189737181,0.9142403415626947
MYS_03_06,1,102.75,2.25,True,201.65139448022367,20.28993237127326,0.10061885474966617,17.15861391176792,36.280774888462744,-0.6242942085040101,0.8717103473207941
MYS_08_29,1,114.25,4.75,True,294.1728048589494,29.37511484106057,0.09985666368835627,21.036231059145116,69.08730242503557,0.07759883093602819,0.7997134301684685
MYS_05_06,1,102.75,3.25,True,215.08300532752278,20.887195988690085,0.0971122565303735,15.78661577418985,46.53648660494326,-0.02845541816174091,0.9503271540518821
MYS_05_07,1,103.25,3.25,True,224.31179664777838,21.6885113923125,0.09668912521069277,16.66220845132428,46.419225907904035,-0.08505402128663657,0.9621300004811281
MYS_10_06,1,102.75,5.75,True,265.63826534312113,25.197089594434487,0.09485489434998293,18.534075518589503,55.21149749983567,-0.47665320709864584,0.982277707664917
MYS_02_06,1,102.75,1.75,True,203.4082627647709,19.205967381416734,0.09442078271730411,15.770695257378081,39.03945116810971,-0.7399938643211144,0.8508154978959092
MYS_09_02,1,100.75,5.25,True,231.62596449103145,21.595893562297736,0.09323606535110154,16.680322295419227,49.85141965852705,1.0034759194404153,0.9143265152788715
MYS_05_03,1,101.25,3.25,True,212.58444081942238,19.417343062188248,0.09133943663676734,15.294596984432216,42.805021105730304,-0.21535921122048998,0.914401412091744
MYS_11_05,1,102.25,6.25,True,239.27562772686835,21.828840851495542,0.0912288520935907,15.779537302534104,49.69392131635084,-0.3552255850118134,0.9789247867015453
MYS_02_20,1,109.75,1.75,True,275.22773439810254,25.08648480641654,0.09114809908702823,20.162556700326608,48.53908381256821,1.1283761063935671,0.9237463901816513
MYS_10_37,1,118.25,5.75,True,237.929685769009,21.26559862441771,0.08937766027675564,18.18107434642101,43.722569397692695,-0.005536474990459321,0.8429271871135569
MYS_01_20,1,109.75,1.25,True,276.7998371627277,24.634244061271303,0.08899659881948951,19.889389928358472,47.95998495283936,1.1115413699686034,0.9246320335919096
MYS_08_38,1,118.75,4.75,True,188.95923360416828,16.761490187266386,0.08870426635185422,12.734267469424486,34.26443758138939,-0.47472766750180995,0.7143473091567296
MYS_11_01,1,100.25,6.25,True,206.03120151397047,18.08122815277673,0.08775965979866737,15.41213839094503,37.88065604597503,0.5898598755371834,0.9531306440685641
MYS_10_02,1,100.75,5.75,True,222.15594155865793,19.42286203735925,0.08742895598959638,15.449084160418826,42.0697340536521,0.7919905373148536,0.9381300906137248
MYS_12_01,1,100.25,6.75,True,201.39578273180462,17.42733331113131,0.08653276188180661,14.789459869672497,34.62576159717423,0.47130130082075067,0.9578267373839229
MYS_09_37,1,118.25,5.25,True,224.20203175100312,19.092542733161018,0.0851577596511928,15.702168280977574,42.19860790079326,-0.14658636216255636,0.7955703180410665
MYS_08_30,1,114.75,4.75,True,284.17231177110114,23.72598438885266,0.08349154159664851,16.81141331828664,55.093134508943365,0.023130171653069926,0.8359241514138029
MYS_07_38,1,118.75,4.25,True,187.0724887100267,15.554794401084074,0.0831484870295114,13.960611417401713,25.733999708092227,-0.692181646011098,0.5330488901919634
MYS_08_02,1,100.75,4.75,True,238.9487101985258,19.823225608333324,0.08296016995389341,15.32012606556156,48.94554467737822,1.1420531874947553,0.9149032715513449
MYS_07_29,1,114.25,4.25,True,304.20219552298573,24.985653710580028,0.08213502097716482,18.16889105357399,58.623388156483685,0.06305937998906093,0.7893813736672489
MYS_09_07,1,103.25,5.25,True,265.20605512819174,21.727553198414313,0.08192706304504224,16.848087594328515,47.642145055438846,-0.5022838870111563,0.9874237421512301
MYS_04_03,1,101.25,2.75,True,211.15727398660445,16.919081847052734,0.08012549853303211,13.10805926061719,36.93154219263738,-0.17419483139469114,0.926913357465699
MYS_07_30,1,114.75,4.25,True,289.93282269767485,22.90748935194258,0.07900964485083216,17.809068899710102,48.40595803727567,-0.15522431135554626,0.7781954579825967
MYS_06_27,1,113.25,3.75,True,324.50771378278733,25.352669166708896,0.07812655320630983,21.360937398337057,55.49341194443761,0.4190353152324704,0.8817539784355474
MYS_06_02,1,100.75,3.75,True,218.37806802325778,17.021282296836947,0.07794410148836073,14.422279127047963,25.92693437082397,0.4102995743911582,0.9434116211174622
MYS_07_33,1,116.25,4.25,True,255.5226112495593,19.847911284545027,0.07767575318475561,17.033741061646236,39.202641142445714,-0.5245696373687968,0.760627843506109
MYS_06_32,1,115.75,3.75,True,266.4943823126771,20.643937690665336,0.07746481374772045,14.743996884645853,52.59099261180518,-1.1251141753756002,0.6716823772699732
MYS_06_03,1,101.25,3.75,True,219.93231796883325,16.9432721972106,0.07703857420177622,14.763907489003884,33.500007467297564,0.11477817549145186,0.9363990471522293
MYS_06_06,1,102.75,3.75,True,236.93216410900126,18.113589223610596,0.0764505287482935,13.253156527798623,42.87419151727795,0.1893688623144326,0.9784689769580137
MYS_05_32,1,115.75,3.25,True,273.0816798333967,20.66604164813977,0.07567714414510644,15.13393404087189,54.32271774746988,-1.2781999845027225,0.6320610906913547
MYS_06_31,1,115.25,3.75,True,271.1150295377325,20.26126551641697,0.07473309595179453,14.403204252448463,48.77613555914098,-0.9036796357512292,0.6565313419021497
MYS_12_33,1,116.25,6.75,True,204.70825000195967,15.052482354709094,0.07353139091641395,12.560221152823727,27.320790141799876,0.5247440584543573,0.9182413947270783
