configuration,region_id,test_fold,native_cell_count,core_region_ge_4_cells,regional_rmse_mm,regional_mae_mm,regional_r_squared,regional_mean_bias_mm
Mean,SLR_03_03,1,25,True,95.44157710480853,75.83399454752605,-0.14066205307035662,-33.515645345052086
Mean,SLR_03_04,1,19,True,101.90049209076581,88.71468098958333,-0.008923040205189192,9.583048502604166
Mean,SLR_04_00,2,10,True,65.09568881799517,53.75835164388021,-0.014616954216143618,7.813212076822917
Mean,SLR_04_01,2,25,True,69.7397643573271,54.08257548014323,-0.0008541453578503333,-2.037328084309896
Mean,SLR_04_02,3,25,True,90.86444495142874,83.58992513020833,-0.07484409115765045,23.977284749348957
Mean,SLR_04_03,3,25,True,98.17493767856183,91.1577657063802,-0.11812058109478651,31.909434000651043
Mean,SLR_04_04,3,9,True,109.56174523628185,98.8560078938802,-0.20214890069811342,44.927836100260414
Mean,SLR_05_00,2,9,True,119.31499728836087,104.99737803141277,-1.2670814111551367,89.19977060953777
Mean,SLR_05_01,2,25,True,110.9284802215115,100.3901596069336,-0.9166980128620483,76.71483612060547
Mean,SLR_05_02,3,25,True,122.53069085009021,109.65902709960938,-0.6952840927825534,78.47020467122395
Mean,SLR_05_03,3,21,True,149.02168003536943,131.96974182128906,-0.9238295801464782,103.26712544759114
Mean,SLR_06_00,4,4,True,114.39472543434908,103.06087239583333,-0.8356152913122181,77.18241373697917
Mean,SLR_06_01,4,25,True,138.6959107454837,121.59942626953125,-0.8353650754862467,93.5708516438802
Mean,SLR_06_02,4,25,True,148.04603343717355,130.973876953125,-0.7042168264293731,95.16725667317708
Mean,SLR_06_03,3,6,True,197.1454326314076,172.0598907470703,-1.8310306697248384,158.5485382080078
Mean,SLR_07_00,4,1,False,85.85584719737803,79.27884419759114,-0.1404458202233425,30.12915547688802
Mean,SLR_07_01,4,19,True,144.03641693748415,126.21772766113281,-0.6383734835035495,89.90902201334636
Mean,SLR_07_02,4,14,True,160.74064488596167,142.2618611653646,-0.7304353677636277,104.4332784016927
Mean,SLR_08_00,4,1,False,142.67919160814924,127.7950948079427,-0.39345700779032633,75.8162841796875
Mean,SLR_08_01,4,8,True,102.18117899090937,95.44439188639323,-0.0897489906400295,29.323949178059895
PINN_P_PET_lambda1,SLR_00_02,0,1,False,55.867943281067085,45.41516621907552,0.168504769177244,-43.010958862304676
PINN_P_PET_lambda1,SLR_01_01,0,22,True,81.31000962182809,76.79661763509114,-2.2781838901242533,-76.79661763509114
PINN_P_PET_lambda1,SLR_01_02,0,24,True,31.35001883768031,27.03575642903648,0.5809933938321363,-14.46362915039064
PINN_P_PET_lambda1,SLR_01_03,1,16,True,37.591540393544186,34.63014628092447,0.6749818367951299,34.63014628092447
PINN_P_PET_lambda1,SLR_01_04,1,2,False,68.8005216245787,58.6480712890625,0.4600048095780187,54.44215494791667
PINN_P_PET_lambda1,SLR_02_00,0,4,True,61.41810091795776,59.08482462565103,-0.11645591450120474,-59.08482462565103
PINN_P_PET_lambda1,SLR_02_01,0,25,True,70.7409292170714,67.59263509114584,-0.9223003379054937,-67.59263509114584
PINN_P_PET_lambda1,SLR_02_02,0,25,True,59.30167550694007,57.744486490885414,-0.6756296717029344,-57.744486490885414
PINN_P_PET_lambda1,SLR_02_03,1,25,True,20.086675352602033,18.41175435384116,0.9408003979603822,-8.824191284179696
PINN_P_PET_lambda1,SLR_02_04,1,15,True,52.076729561290975,39.89343872070313,0.7563115225759707,30.87803751627605
PINN_P_PET_lambda1,SLR_03_00,2,9,True,44.68273389381167,37.1271952311198,0.5041086542966497,36.871175130208336
PINN_P_PET_lambda1,SLR_03_01,2,25,True,20.125592133322055,15.297273763020835,0.8911937985445835,12.297583007812506
PINN_P_PET_lambda1,SLR_03_02,1,25,True,25.517977235900958,18.081547037760412,0.7883730475006956,-13.091113281249998
PINN_P_PET_lambda1,SLR_03_03,1,25,True,13.984417037781256,11.99030456542969,0.9755110303302192,-2.436504109700536
PINN_P_PET_lambda1,SLR_03_04,1,19,True,28.39927103455708,23.35797526041667,0.9216354106046285,8.868572998046886
PINN_P_PET_lambda1,SLR_04_00,2,10,True,80.82225204365433,76.81742451985676,-0.5640821379055223,76.81742451985676
PINN_P_PET_lambda1,SLR_04_01,2,25,True,76.69933527414781,71.26222534179689,-0.21057873612522915,71.26222534179689
PINN_P_PET_lambda1,SLR_04_02,3,25,True,33.87328876240674,26.611276245117182,0.8506269509425795,-10.141563924153644
PINN_P_PET_lambda1,SLR_04_03,3,25,True,52.111536488898686,48.41780497233072,0.6849676667448089,-48.41780497233072
PINN_P_PET_lambda1,SLR_04_04,3,9,True,52.451712038981846,48.455473327636724,0.7244758210403861,-48.455473327636724
PINN_P_PET_lambda1,SLR_05_00,2,9,True,79.45897191475306,77.97909800211588,-0.005455670517383826,77.97909800211588
PINN_P_PET_lambda1,SLR_05_01,2,25,True,56.20760054230712,55.00597585042317,0.5078951348488574,55.00597585042317
PINN_P_PET_lambda1,SLR_05_02,3,25,True,29.673394534847024,20.89413604736326,0.900576926482289,-19.696939595540353
