configuration,region_id,test_fold,native_cell_count,core_region_ge_4_cells,regional_rmse_mm,regional_mae_mm,regional_r_squared,regional_mean_bias_mm
Ridge,SLR_02_03,1,25,True,22.74744392797808,17.849924723307293,0.924077959327304,4.475789388020833
Ridge,SLR_02_04,1,15,True,62.11884189683347,47.26655832926432,0.6532677081557832,39.52038319905599
Ridge,SLR_03_00,2,9,True,41.561231387557214,37.16425577799479,0.5709737481195878,37.16425577799479
Ridge,SLR_03_01,2,25,True,21.312831177147352,17.310546875,0.8779778692062716,7.289652506510417
Ridge,SLR_03_02,1,25,True,25.265094983371924,19.717625935872395,0.7925466954075506,-13.030370076497396
Ridge,SLR_03_03,1,25,True,16.148606406905117,12.921310424804688,0.9673448352867275,-0.23932393391927084
Ridge,SLR_03_04,1,19,True,27.62613550376171,20.869659423828125,0.9258440927393277,5.036326090494792
Ridge,SLR_04_00,2,10,True,70.88221110050362,69.04182434082031,-0.2030181351199749,69.04182434082031
Ridge,SLR_04_01,2,25,True,63.85545265225418,60.27715047200521,0.16091527189732957,60.27715047200521
Ridge,SLR_04_02,3,25,True,28.80119026671475,26.65526835123698,0.8920112809407376,-2.148615519205729
Ridge,SLR_04_03,3,25,True,37.064396255075,34.26876322428385,0.8406319592333699,-34.26876322428385
Ridge,SLR_04_04,3,9,True,39.719841965197645,36.36307271321615,0.8420006122166146,-36.36307271321615
Ridge,SLR_05_00,2,9,True,78.60982759980374,77.04010772705078,0.01591925971431074,77.04010772705078
Ridge,SLR_05_01,2,25,True,59.78322597531674,58.36355336507162,0.4432935418270766,58.36355336507162
Ridge,SLR_05_02,3,25,True,26.85830107219824,20.358177185058594,0.9185464910163972,-17.5896479288737
Ridge,SLR_05_03,3,21,True,30.480424091157268,23.98413594563802,0.9195159729872509,-20.853032430013013
Ridge,SLR_06_00,4,4,True,57.236547606749404,52.80144500732421,0.5404671881985239,-51.11934661865234
Ridge,SLR_06_01,4,25,True,31.91016924301461,28.584228515625004,0.9028476376858987,-25.617055257161464
Ridge,SLR_06_02,4,25,True,17.41611552318546,14.241348266601557,0.9764151080665989,-12.0967051188151
Ridge,SLR_06_03,3,6,True,28.843631281872145,23.56358083089192,0.939400225981686,1.184064229329427
Ridge,SLR_07_00,4,1,False,114.42168147514082,107.53058624267578,-1.02559004041902,-107.53058624267578
Ridge,SLR_07_01,4,19,True,50.117303734771504,44.78428141276043,0.8016447551325969,-44.78428141276043
Ridge,SLR_07_02,4,14,True,29.389768108936924,25.428784688313794,0.9421509423184108,-21.23912811279297
Ridge,SLR_08_00,4,1,False,75.7137831376064,69.50605773925781,0.607606154075758,-69.50605773925781
Ridge,SLR_08_01,4,8,True,116.58078186980933,110.92448170979817,-0.41853019289188786,-110.92448170979817
