component_count,run_index,random_seed,rss,relative_frobenius_error,explained_variance,iterations,converged,convergence_warning,mean_component_stability,minimum_component_stability
2,25,20280830,128702.5494661005,0.10144543383186284,0.9650271130124299,670,True,False,0.9825573585250709,0.9651147204947906
2,26,20280831,128702.48040207315,0.10144540661316677,0.9650271317794896,490,True,False,0.9987682488983463,0.9975365011110445
2,27,20280832,128702.41711984764,0.1014453816731195,0.9650271489754358,290,True,False,0.9949493297130222,0.989898661891623
2,28,20280833,128702.5127071235,0.10144541934485131,0.9650271230011019,610,True,False,0.9903189020570422,0.9806378074677596
2,29,20280834,128702.41756695865,0.10144538184932966,0.9650271488539405,290,True,False,0.9986590272158051,0.997318054963952
2,30,20280835,128702.46239438443,0.10144539951618867,0.9650271366727949,460,True,False,0.999900412505145,0.9998008282887556
2,31,20280836,128702.51479130097,0.10144542016624265,0.9650271224347596,570,True,False,0.9900701363872728,0.9801402761296267
2,32,20280837,128702.46343254387,0.10144539992533586,0.9650271363906915,580,True,False,0.9974289471380724,0.9948578974905876
2,33,20280838,128702.51515096545,0.10144542030798935,0.9650271223370265,660,True,False,0.985755464095185,0.9715109315282942
2,34,20280839,128702.49796166828,0.10144541353354701,0.9650271270079468,640,True,False,0.9910093574683465,0.9820187182375208
2,35,20280840,128702.46392883314,0.10144540012092754,0.9650271362558327,540,True,False,0.9994255059230177,0.9988510151044507
2,36,20280841,128702.51837874351,0.10144542158008298,0.9650271214599287,590,True,False,0.9932061218352349,0.9864122470677542
2,37,20280842,128702.52199963146,0.10144542300710441,0.9650271204760096,510,True,False,0.9927350898172356,0.9854701830118311
2,38,20280843,128702.45706437608,0.10144539741558849,0.9650271381211406,340,True,False,0.9993317231536267,0.9986634495558417
2,39,20280844,128702.49634178673,0.10144541289513845,0.965027127448124,570,True,False,0.9919868542378163,0.9839737117723596
2,40,20280845,128702.5457711779,0.10144543237566392,0.9650271140164669,570,True,False,0.9891253221547059,0.9782506477688931
2,41,20280846,128702.47788847049,0.10144540562253533,0.9650271324625215,610,True,False,0.9948785103374617,0.989757023923931
2,42,20280847,128702.43389957462,0.10144538828614896,0.9650271444158098,490,True,False,0.9919474078168455,0.9838948225725337
2,43,20280848,128702.4621727299,0.1014453994288328,0.965027136733026,440,True,False,0.9999644749036294,0.9999289531247819
2,44,20280849,128702.46006707857,0.10144539859897828,0.9650271373052035,340,True,False,0.9994515541066872,0.9989031093486361
2,45,20280850,128702.49666889128,0.10144541302405304,0.9650271273592385,620,True,False,0.9916104912670042,0.98322098583341
2,46,20280851,128702.48265960623,0.10144540750287907,0.9650271311660407,570,True,False,0.9918752153055227,0.983750433860718
2,47,20280852,128702.50727781405,0.10144541720511617,0.9650271244764311,610,True,False,0.9893354642546428,0.9786709318336373
2,48,20280853,128702.46419232928,0.10144540022477352,0.9650271361842317,530,True,False,0.9998869037084699,0.9997738107044067
2,49,20280854,128702.51005156418,0.10144541829827372,0.9650271237227083,670,True,False,0.98862556010122,0.9772511235353971
2,50,20280855,128702.44980749114,0.1014453945555903,0.9650271400930845,480,True,False,0.9996526288317493,0.9993052609481384
2,51,20280856,128702.46114235054,0.1014453990227518,0.9650271370130153,440,True,False,0.9998914483004738,0.9997828998617493
2,52,20280857,128702.46448848216,0.10144540034148981,0.9650271361037569,410,True,False,0.9998008258220187,0.999601654861599
2,53,20280858,128702.4751047808,0.10144540452546037,0.9650271332189453,390,True,False,0.9984792789152933,0.9969585606565181
