target,depth_label,alpha,mean_validation_rmse_mm,median_validation_rmse_mm,std_validation_rmse_mm,minimum_validation_rmse_mm,maximum_validation_rmse_mm,standard_error_validation_rmse_mm,best_mean_rmse_alpha,within_one_standard_error,selected_alpha
SM_0_10cm_mm,0–10 cm,300000.0,2.574868932105079,2.158808331779527,1.0983387875137987,1.8166053391624124,4.479819670356612,0.4911920382411102,False,False,False
SM_10_40cm_mm,10–40 cm,0.0,6.205452121638097,4.415265867832946,4.4810856400601216,2.3487391338382713,13.570153842793028,2.0040024208345173,False,True,False
SM_10_40cm_mm,10–40 cm,0.0001,6.20545147422713,4.415265821754837,4.48108522003522,2.3487387389219765,13.57015247560968,2.0040022329936704,False,True,False
SM_10_40cm_mm,10–40 cm,0.001,6.205445647586379,4.415265407054792,4.481081439835989,2.3487351847118525,13.570140171048557,2.004000542437181,False,True,False
SM_10_40cm_mm,10–40 cm,0.01,6.205387386916542,4.415261260343698,4.481043640307946,2.3486996462256933,13.570017134247722,2.0039836379743368,False,True,False
SM_10_40cm_mm,10–40 cm,0.1,6.204805353053613,4.415219822033087,4.480665891406587,2.3483446220201865,13.568787646556702,2.003814703529964,False,True,False
SM_10_40cm_mm,10–40 cm,1.0,6.1990413872703645,4.414808188472867,4.476912989265167,2.344829617354524,13.556580085459354,2.00213635466974,False,True,False
SM_10_40cm_mm,10–40 cm,10.0,6.146293771588463,4.410875471984391,4.441768684548817,2.3125674666653055,13.4425977439243,1.986419343796195,False,True,False
SM_10_40cm_mm,10–40 cm,30.0,6.051863189190574,4.402588281264501,4.377329490191032,2.253034537498889,13.23249484680453,1.9576012599963293,False,True,False
SM_10_40cm_mm,10–40 cm,100.0,5.845446837396639,4.374946590002936,4.245985743997628,2.1102416343520587,12.77920078446561,1.8988625510147432,False,True,False
SM_10_40cm_mm,10–40 cm,300.0,5.623823530865119,4.310800740955606,4.145252960606999,1.9848799104564083,12.356477989941189,1.8538134807699016,True,True,False
SM_10_40cm_mm,10–40 cm,1000.0,5.663275598718036,4.227345595497145,4.097997874914391,2.517561966634782,12.362014757105948,1.8326803639916516,False,True,False
SM_10_40cm_mm,10–40 cm,3000.0,6.2681473307069755,4.3908078509066115,3.961685232173242,3.137651348126232,12.876036572561235,1.771719496919281,False,True,False
SM_10_40cm_mm,10–40 cm,10000.0,7.255344426121653,5.593314579628221,3.7474743026990565,4.531464553266687,13.644990757595876,1.6759214569537426,False,True,True
SM_10_40cm_mm,10–40 cm,30000.0,7.885139756488226,6.425694551366579,3.6292747215403134,5.464555179294821,14.138825100373978,1.6230609972771521,False,False,False
SM_10_40cm_mm,10–40 cm,100000.0,8.194812135488672,6.789366937128729,3.5766934678639375,5.810354269052884,14.386071151898154,1.5995459457646446,False,False,False
SM_10_40cm_mm,10–40 cm,300000.0,8.295985743574834,6.902279614078067,3.560321477728585,5.908862838551047,14.467645944834455,1.592224169190724,False,False,False
SM_40_100cm_mm,40–100 cm,0.0,13.570772258039886,9.334157530393895,9.272230157451373,5.78286656284588,28.89921326207746,4.1466673870169695,False,True,False
SM_40_100cm_mm,40–100 cm,0.0001,13.570771002649838,9.334157372021577,9.27222921514804,5.782865897910325,28.899210311273325,4.146666965606108,False,True,False
SM_40_100cm_mm,40–100 cm,0.001,13.570759704236744,9.334155946699676,9.272220734469395,5.782859913526786,28.899183754215166,4.146663172931318,False,True,False
SM_40_100cm_mm,40–100 cm,0.01,13.570646729745572,9.334141696346368,9.272135932772008,5.7828000733006935,28.89891820137226,4.146625248459325,False,True,False
SM_40_100cm_mm,40–100 cm,0.1,13.569517947322044,9.333999478300623,9.271288424845107,5.7822020307170705,28.896264445370587,4.146246231392122,False,True,False
SM_40_100cm_mm,40–100 cm,1.0,13.558324918098112,9.332604800033204,9.262864371696159,5.776256371829293,28.86990270793194,4.142478880294698,False,True,False
SM_40_100cm_mm,40–100 cm,10.0,13.454704717461059,9.320648749026615,9.183720615821706,5.719472386705212,28.622640031429864,4.107084716668712,False,True,False
SM_40_100cm_mm,40–100 cm,30.0,13.264541748348128,9.300124564279509,9.038077854198312,5.604700732449818,28.161894463622755,4.041951293584571,False,True,False
SM_40_100cm_mm,40–100 cm,100.0,12.835103427362787,9.242005059844434,8.74224985422547,5.293592064738306,27.152046105312294,3.9096529900671553,False,True,False
SM_40_100cm_mm,40–100 cm,300.0,12.35565225979855,9.095692196382357,8.539190873643127,4.947628330395319,26.20887941515686,3.81884225326237,True,True,False
SM_40_100cm_mm,40–100 cm,1000.0,12.40529240950256,8.845558990491446,8.55832758874394,5.904314575834473,26.294537955882056,3.827400452428662,False,True,False
SM_40_100cm_mm,40–100 cm,3000.0,13.727720529343411,9.144957282925382,8.418679221335386,7.098686201953485,27.590523300000857,3.7649478039341844,False,True,False
SM_40_100cm_mm,40–100 cm,10000.0,15.967008942728432,12.686259226828929,8.041153338963248,10.069752503238947,29.452047412442628,3.596113096684246,False,True,True
SM_40_100cm_mm,40–100 cm,30000.0,17.4046304606334,14.59558197318436,7.803415315162507,11.680631582708129,30.617678136106665,3.489793420273262,False,False,False
SM_40_100cm_mm,40–100 cm,100000.0,18.110471303452297,15.436536042113412,7.6923765134699424,12.330480961770485,31.193556316256938,3.4401353585283236,False,False,False
SM_40_100cm_mm,40–100 cm,300000.0,18.340733508445076,15.698407936696368,7.657123280399758,12.55121933841788,31.382436636927515,3.4243696334140084,False,False,False
SM_100_200cm_mm,100–200 cm,0.0,25.700819657565553,17.842625652569428,14.88223802565513,12.872151779669576,49.43592759896262,6.655539176539426,False,True,False
SM_100_200cm_mm,100–200 cm,0.0001,25.700817904722914,17.842623813286043,14.88223609865197,12.872151224870532,49.43592176985385,6.655538314757414,False,True,False
