rank,region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,small_region_lt_4_cells,very_small_region_lt_2_cells,precipitation_peak_month,soil_moisture_peak_month,runoff_peak_month,aet_peak_month,pet_peak_month,peak_month_forward_lag,peak_month_shortest_signed_lag,best_precipitation_lag_0_to_6,best_lag_correlation,corr_precipitation_soil_moisture,corr_precipitation_runoff,corr_soil_moisture_runoff,corr_precipitation_aet,corr_pet_aet,precipitation_mean_mm,precipitation_amplitude_mm,precipitation_seasonality_ratio,soil_moisture_mean_mm,soil_moisture_amplitude_mm,soil_moisture_seasonality_ratio,runoff_mean_mm,runoff_amplitude_mm,runoff_control_class,corr_precipitation_lag_0_soil_moisture,corr_precipitation_lag_1_soil_moisture,corr_precipitation_lag_2_soil_moisture,corr_precipitation_lag_3_soil_moisture,corr_precipitation_lag_4_soil_moisture,corr_precipitation_lag_5_soil_moisture,corr_precipitation_lag_6_soil_moisture,asynchrony_rank
112,MYS_04_08,1,103.75,2.75,8,4,103.5,104.0,2.5,3.0,True,True,12,12,12,1,3,0,0,0,0.7420119706019603,0.7420119706019603,0.9641851228812194,0.76021426802755,0.3632284328567802,-0.06594182906209085,216.14485403257868,360.1999866406814,1.6664749584387044,799.9423721368167,103.19267545310413,0.12900013681917422,90.44961219487423,356.2688235159111,precipitation-dominant,0.7420119706019603,0.496630452906339,-0.06798822861448141,-0.5823076152402468,-0.6952388691071576,-0.5519480134251554,-0.32222594231098184,12
113,MYS_08_08,1,103.75,4.75,8,8,103.5,104.0,4.5,5.0,True,True,12,11,12,1,4,11,-1,0,0.7408515270214813,0.7408515270214813,0.9894150704916093,0.7216738241529546,0.3931432753444834,-0.39110813978249676,258.791115638666,651.2477227579084,2.516499537283982,701.174454610585,133.89060548724547,0.19095191589888283,117.13966663432069,527.1912526252336,precipitation-dominant,0.7408515270214813,0.5263255482287876,0.08916039619588582,-0.3633420587934159,-0.6499091731523376,-0.7141608627194401,-0.582425721839512,1
114,MYS_11_35,1,117.25,6.25,35,11,117.0,117.5,6.0,6.5,True,True,1,12,1,3,4,11,-1,0,0.7401285296218296,0.7401285296218296,0.9442656819018612,0.7046698655369374,-0.3014272251564248,0.46010363325058395,260.79896997632596,271.77322112734356,1.0420793500527006,822.4396280954082,136.0206948578043,0.16538684447002963,148.62421319431652,339.8238631959798,precipitation-dominant,0.7401285296218296,0.5413145536968194,0.08288853243331282,-0.4327699443648109,-0.74537894307078,-0.7347122124390881,-0.533068685800211,1
115,MYS_03_09,1,104.25,2.25,9,3,104.0,104.5,2.0,2.5,True,True,12,12,12,1,3,0,0,0,0.7386403133804035,0.7386403133804035,0.9240701311259784,0.7712519810848352,0.38164033762406263,-0.0867190767639936,207.6478793636355,287.4735114511113,1.3844278705475443,842.2879888711444,108.3916546445904,0.12868716647599313,86.22252347242734,293.23431141402773,precipitation-dominant,0.7386403133804035,0.551939446400232,-0.029137573971949313,-0.5549050176920466,-0.6738963310500774,-0.551102835276022,-0.29319631734474,12
116,MYS_10_04,1,101.75,5.75,4,10,101.5,102.0,5.5,6.0,True,True,12,11,12,3,3,11,-1,0,0.7385806517368343,0.7385806517368343,0.9142357859718968,0.7373325403087904,-0.16537059612739535,0.09277677560252025,244.88022946095023,340.7963130483363,1.3916856979370043,820.1090878101633,174.53346508873847,0.21281737720377392,141.75915903354914,482.4179619656524,precipitation-dominant,0.7385806517368343,0.6479497211488835,0.28218827005800906,-0.1632328895491111,-0.5514585288798323,-0.7268737494870614,-0.6379130286579524,1
117,MYS_12_36,1,117.75,6.75,36,12,117.5,118.0,6.5,7.0,True,True,1,12,12,3,4,11,-1,0,0.7375711409757839,0.7375711409757839,0.9623732682726532,0.7169013286062421,0.19306112359099267,0.07787131891493983,258.05782558461766,350.987503389959,1.3601118377046446,768.989026313358,164.20810654958098,0.21353764609206172,114.03743261958671,331.8428876825919,precipitation-dominant,0.7375711409757839,0.5442784748341772,0.13697145462490565,-0.3560030309847686,-0.7026977757909365,-0.7682038428616557,-0.6147902864570205,1
118,MYS_02_09,1,104.25,1.75,9,2,104.0,104.5,1.5,2.0,True,True,12,12,12,1,3,0,0,0,0.736634385999158,0.736634385999158,0.9367425662868732,0.7542426109571714,0.2939034625970924,0.1849295742336859,207.57707152295447,248.38357828279334,1.1965848465846882,855.8820731426703,74.7965683890252,0.08739120813032507,100.02378202857487,198.15601501612701,precipitation-dominant,0.736634385999158,0.4932186922268425,-0.22647909331571073,-0.7014041721863502,-0.5998225201703193,-0.29659187883319643,-0.04704024877513763,12
119,MYS_06_04,1,101.75,3.75,4,6,101.5,102.0,3.5,4.0,True,True,11,11,11,3,3,0,0,0,0.7317420968281051,0.7317420968281051,0.9316216288658377,0.8384759671615262,-0.09188944552246843,0.32848161499754314,226.0108806263388,236.28818625959698,1.0454726144368667,851.05776438136,100.16942536501881,0.11769991363375044,101.9045739827078,223.73143078334272,mixed,0.7317420968281051,0.5901457905511054,0.00324783360718123,-0.6421475676638011,-0.8249387657554768,-0.5459923146488771,-0.17826079212499643,12
120,MYS_05_04,1,101.75,3.25,4,5,101.5,102.0,3.0,3.5,True,True,11,11,11,3,3,0,0,0,0.7242467417704632,0.7242467417704632,0.9602862463172499,0.813062381610482,-0.009424369971479055,0.3712224709193242,213.0300836660277,223.0783022713811,1.047168073318256,856.5852736249682,84.68296747875809,0.09886110593565277,112.51961604787984,227.77350806142118,mixed,0.7242467417704632,0.5298267808974166,-0.15296786260339118,-0.7604002498368349,-0.7808736085476958,-0.3760190358038629,-0.013532509520618213,12
121,MYS_03_04,1,101.75,2.25,4,3,101.5,102.0,2.0,2.5,True,True,11,11,11,1,3,0,0,0,0.7208657406171107,0.7208657406171107,0.9362298093309699,0.7801890839000186,-0.03049079385146401,0.3265289405802943,202.7061477950125,188.8111065694379,0.9314522949761443,841.3589461098618,101.12315038815893,0.12019025988338944,54.64900796055192,127.90243890819325,precipitation-dominant,0.7208657406171107,0.6770588882980451,0.021844662369393492,-0.6150106598887175,-0.7044572112274454,-0.44119035196847173,-0.17993930969388036,12
