target,depth_label,maximum_lag_months,configuration,feature_count,pooled_rmse_mm,pooled_mae_mm,pooled_r_squared,pooled_bias_mm,core_pooled_rmse_mm,core_pooled_r_squared
SM_10_40cm_mm,10–40 cm,3,DROP_C2,15,12.848729703913586,9.737831586323558,0.5971716473239436,-0.4196003256413753,12.38869538718004,0.6222830986843857
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,8.834465832450235,7.077614260006842,0.8095590956632647,0.7719975226182283,8.536303055014244,0.8206691864004708
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,10.547001288828,8.270406820081451,0.7285701276749078,-0.0770711486184151,9.872726335527691,0.7601225261598322
SM_40_100cm_mm,40–100 cm,3,STATIC_ONLY,3,29.312451564859163,22.88151767505153,0.5922066072238565,-0.7093148907585306,28.54148849587526,0.612447620330407
SM_40_100cm_mm,40–100 cm,3,FULL,19,18.80529100557417,15.511871585145188,0.8321597890268002,-2.826857497597849,17.89786937362139,0.8476017995851662
SM_40_100cm_mm,40–100 cm,3,ONLY_C1,7,27.549101113076944,21.48538885296868,0.63979414646256,-0.832873603304765,26.56022468594908,0.6643855434351591
SM_40_100cm_mm,40–100 cm,3,ONLY_C2,7,27.916328772551292,21.603301871020946,0.630127103069526,0.6340173838755527,27.04601685486714,0.6519963498496257
SM_40_100cm_mm,40–100 cm,3,ONLY_C3,7,29.550970254169428,23.022284364916874,0.5855430854851826,-0.3367065165495902,28.484419513734426,0.6139959003396831
SM_40_100cm_mm,40–100 cm,3,ONLY_C4,7,29.985944805120774,23.20619508427814,0.5732521178207914,-2.947205554269242,29.57498618029206,0.5838726399610539
SM_40_100cm_mm,40–100 cm,3,DROP_C1,15,22.461097756279774,18.22307279274015,0.7605593647580215,-1.442913281110877,21.712531852852532,0.7757160956765313
SM_40_100cm_mm,40–100 cm,3,DROP_C2,15,30.61169569393259,23.00587756777659,0.5552554090231097,-1.705619767768443,29.510175432870064,0.5856944480591473
SM_40_100cm_mm,40–100 cm,3,DROP_C3,15,19.138287656344946,15.509831175294767,0.8261630651130605,0.5809764156634591,18.388714231777204,0.8391282085899832
SM_40_100cm_mm,40–100 cm,3,DROP_C4,15,24.863067532733865,19.639419160620903,0.7066099918403178,-0.43979515560021404,23.252816587922112,0.7427660405857054
SM_100_200cm_mm,100–200 cm,1,STATIC_ONLY,3,56.15836414794693,44.11276876605355,0.2280410515052358,-5.907679402550948,52.98359475958085,0.29877680133364615
SM_100_200cm_mm,100–200 cm,1,FULL,11,48.466521295734054,36.47651765612647,0.42502494031719784,-4.781142382970684,44.24616469376924,0.5109821659014238
SM_100_200cm_mm,100–200 cm,1,ONLY_C1,5,54.28064671234237,42.349378310644425,0.2788006356988899,-6.368888470232711,51.663229701766056,0.33329065960857307
SM_100_200cm_mm,100–200 cm,1,ONLY_C2,5,55.72667358292821,43.7650727305624,0.2398635666266471,-4.498421280776276,52.2635976195182,0.3177052370850846
SM_100_200cm_mm,100–200 cm,1,ONLY_C3,5,56.25595559237074,44.342251864843405,0.22535571515153707,-4.817433381150895,52.771624176658456,0.30437632181503627
SM_100_200cm_mm,100–200 cm,1,ONLY_C4,5,53.57023272383521,41.811374196994564,0.29755492036665565,-6.5525397945291,50.76290925555474,0.35632529539017643
SM_100_200cm_mm,100–200 cm,1,DROP_C1,9,51.06027407651478,40.221073572439174,0.3618370422475806,-4.757191355905508,47.65194403681743,0.43280201300915533
SM_100_200cm_mm,100–200 cm,1,DROP_C2,9,53.34641676954456,41.383678938108304,0.3034122773086906,-8.028272340913851,50.623802802834895,0.3598482070256469
SM_100_200cm_mm,100–200 cm,1,DROP_C3,9,47.163483994436675,35.4854430681288,0.4555260989238499,-1.8656238556856088,43.42479516504239,0.5289695406748228
SM_100_200cm_mm,100–200 cm,1,DROP_C4,9,50.52907928531173,39.168681787994636,0.3750459623230662,-3.8461409847283665,46.374662607621524,0.4628012905265302
