grid_id,longitude,latitude,corrected_aet_records,minimum_raw_aet_mm,mean_raw_aet_mm
MY_0p5_3.2500_103.2500,103.25,3.25,0,84.98329440933874,115.86103340774355
MY_0p5_3.2500_112.2500,112.25,3.25,0,79.87500881618924,120.91264285899975
MY_0p5_3.2500_112.7500,112.75,3.25,0,82.35710706867155,125.02354613357988
MY_0p5_3.2500_113.2500,113.25,3.25,0,89.41975885449033,130.09108795164408
MY_0p5_3.2500_113.7500,113.75,3.25,0,92.6234667339022,130.36630903247382
MY_0p5_3.2500_114.2500,114.25,3.25,0,98.51500303426366,129.74430517775744
MY_0p5_3.2500_114.7500,114.75,3.25,0,108.7852420928372,133.5136200794158
MY_0p5_3.2500_115.2500,115.25,3.25,0,99.5194708667224,122.5974058890309
MY_0p5_3.2500_115.7500,115.75,3.25,0,96.48923578155176,119.15565762799629
MY_0p5_2.7500_101.2500,101.25,2.75,0,97.46135711669922,122.77818003760444
MY_0p5_2.7500_101.7500,101.75,2.75,0,84.38937913374467,110.69713401409109
MY_0p5_2.7500_102.2500,102.25,2.75,0,92.13766032419387,123.07112168152115
MY_0p5_2.7500_102.7500,102.75,2.75,0,92.98661883873274,124.4543922076916
MY_0p5_2.7500_103.2500,103.25,2.75,0,88.65698968680802,119.86774237457945
MY_0p5_2.7500_103.7500,103.75,2.75,0,85.13539489183557,116.8443110645214
MY_0p5_2.7500_104.2500,104.25,2.75,0,91.00560760498048,125.88857744004991
MY_0p5_2.7500_111.2500,111.25,2.75,0,82.35485099343693,118.56733344333625
MY_0p5_2.7500_111.7500,111.75,2.75,0,80.73389691319959,118.57894937343524
MY_0p5_2.7500_112.2500,112.25,2.75,0,79.23227577209471,119.98353180532102
MY_0p5_2.7500_112.7500,112.75,2.75,0,79.50001426889928,121.95213757506905
MY_0p5_2.7500_113.2500,113.25,2.75,0,84.24742930578806,126.17999877021425
MY_0p5_2.7500_113.7500,113.75,2.75,0,90.869024337477,128.8348376243737
MY_0p5_2.7500_114.2500,114.25,2.75,0,98.9308336233791,129.03166497447822
MY_0p5_2.7500_114.7500,114.75,2.75,0,105.24160895377966,129.35866579918346
MY_0p5_2.7500_115.2500,115.25,2.75,0,101.99089077786282,123.64118424149245
MY_0p5_2.2500_101.7500,101.75,2.25,0,92.9320833610766,123.56726246950468
