target,depth_label,selected_alpha,feature,feature_type,component,component_label,lag_months,standardized_coefficient,bootstrap_mean_coefficient,bootstrap_median_coefficient,bootstrap_q025_coefficient,bootstrap_q975_coefficient,probability_positive,probability_negative,stable_positive_95,stable_negative_95,absolute_standardized_coefficient
SM_100_200cm_mm,100–200 cm,100.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.1716960381791479,0.16755269157886504,0.16848405450582504,0.11301356945186854,0.21903499402105805,1.0,0.0,True,False,0.1716960381791479
SM_100_200cm_mm,100–200 cm,100.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.07783816727450794,0.0775851892884617,0.07829028740525246,0.027589715039357542,0.12355537693947553,0.9984,0.0016,True,False,0.07783816727450794
SM_100_200cm_mm,100–200 cm,100.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.11687270248950925,0.1170462038591504,0.11703984439373016,0.09071476068347692,0.14372742772102357,1.0,0.0,True,False,0.11687270248950925
SM_100_200cm_mm,100–200 cm,100.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.07540565709098906,0.07655088977366686,0.07666304334998131,0.05769470250234008,0.09587081838399171,1.0,0.0,True,False,0.07540565709098906
SM_100_200cm_mm,100–200 cm,100.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.036448627460471096,0.03735545700841831,0.03789243847131729,0.004880799958482385,0.06692946553230286,0.9894,0.0106,True,False,0.036448627460471096
SM_100_200cm_mm,100–200 cm,100.0,K4_C4_L0_mm,precipitation_component,C4,November northern,0.0,0.02533246884460886,0.022394772797297038,0.021530630066990852,-0.03162019597366452,0.07916407138109206,0.7758,0.2242,False,False,0.02533246884460886
SM_100_200cm_mm,100–200 cm,100.0,K4_C4_L1_mm,precipitation_component,C4,November northern,1.0,0.18434222803859,0.1814958837851882,0.18170169740915298,0.13726618327200413,0.22548458874225613,1.0,0.0,True,False,0.18434222803859
SM_100_200cm_mm,100–200 cm,100.0,K4_C4_L2_mm,precipitation_component,C4,November northern,2.0,0.14691275309217433,0.14447230093330146,0.14493350684642792,0.1076180100440979,0.17977844588458533,1.0,0.0,True,False,0.14691275309217433
SM_100_200cm_mm,100–200 cm,100.0,K4_C4_L3_mm,precipitation_component,C4,November northern,3.0,0.11429362560311404,0.11351633187606931,0.1138659231364727,0.06726760901510716,0.15766968242824073,1.0,0.0,True,False,0.11429362560311404
SM_100_200cm_mm,100–200 cm,100.0,PET_mm,atmospheric,,,,-0.06312966672053973,-0.06839471204187211,-0.06834996119141579,-0.15385324619710444,0.018049118621274746,0.0568,0.9432,False,False,0.06312966672053973
SM_100_200cm_mm,100–200 cm,100.0,latitude,spatial,,,,-0.050297906349063816,-0.057873992585886935,-0.060802582651376724,-0.1867473755031824,0.08305249698460095,0.203,0.797,False,False,0.050297906349063816
SM_100_200cm_mm,100–200 cm,100.0,longitude,spatial,,,,-0.12222622248497003,-0.11237097549806349,-0.11248377338051796,-0.2769870452582836,0.06222240217030032,0.0928,0.9072,False,False,0.12222622248497003
