region_id,month,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,dominant_monthly_component,dominant_monthly_component_label,month_name,regional_loading_mm,normalized_seasonal_profile,dominant_monthly_contribution_mm,reconstructed_total_mm,dominant_monthly_component_fraction
MYS_07_04,1,1,101.75,4.25,4,7,True,K4_C1,January eastern mode,Jan,329.0184135902253,0.3142285883169263,103.3869916327311,188.31355752932217,0.549015126628006
MYS_07_04,2,1,101.75,4.25,4,7,True,K4_C1,January eastern mode,Feb,329.0184135902253,0.2053666456716191,67.56940796322203,128.09848346636775,0.527480155383435
MYS_07_04,3,1,101.75,4.25,4,7,True,K4_C2,May–June southwest mode,Mar,1050.8703240986486,0.1381761742726676,145.20524104062955,227.52379111318885,0.6381980553778336
MYS_07_04,4,1,101.75,4.25,4,7,True,K4_C2,May–June southwest mode,Apr,1050.8703240986486,0.1771518265910075,186.16359742435964,234.9081427700948,0.792495292964614
MYS_07_04,5,1,101.75,4.25,4,7,True,K4_C3,April–October mode,May,884.712605967942,0.1287233906059157,113.88320635198897,235.13981938077015,0.48432122918140846
MYS_07_04,6,1,101.75,4.25,4,7,True,K4_C3,April–October mode,Jun,884.712605967942,0.1188687959736476,105.16472225411738,173.6284294404827,0.6056883806010945
MYS_07_04,7,1,101.75,4.25,4,7,True,K4_C3,April–October mode,Jul,884.712605967942,0.1056946639096819,93.50940154444045,192.88902431460846,0.48478342340476294
MYS_07_04,8,1,101.75,4.25,4,7,True,K4_C3,April–October mode,Aug,884.712605967942,0.1309179607663566,115.82477023761213,227.0156283595566,0.5102061522132924
MYS_07_04,9,1,101.75,4.25,4,7,True,K4_C3,April–October mode,Sep,884.712605967942,0.1376209669856309,121.75500433768562,246.68284850579488,0.49356898979875957
MYS_07_04,10,1,101.75,4.25,4,7,True,K4_C2,May–June southwest mode,Oct,1050.8703240986486,0.1288721738103939,135.427943059426,318.4852891218625,0.4252251130117568
MYS_07_04,11,1,101.75,4.25,4,7,True,K4_C4,November northern mode,Nov,672.8674803599865,0.2491769875393746,167.66309176931074,383.83158900136885,0.4368142085583081
MYS_07_04,12,1,101.75,4.25,4,7,True,K4_C4,November northern mode,Dec,672.8674803599865,0.3529067798814952,237.45949578081806,380.95222101338294,0.6233314381240372
MYS_07_05,1,1,102.25,4.25,5,7,True,K4_C4,November northern mode,Jan,1205.5559009506285,0.1192487034702773,143.7609781493045,248.75110203951863,0.577931020086357
MYS_07_05,2,1,102.25,4.25,5,7,True,K4_C1,January eastern mode,Feb,318.3777749807725,0.2053666456716191,65.38417570419477,118.24890258194297,0.5529368499541506
MYS_07_05,3,1,102.25,4.25,5,7,True,K4_C2,May–June southwest mode,Mar,709.3521940119766,0.1381761742726676,98.015572380498,197.34932553962818,0.49666028557475994
MYS_07_05,4,1,102.25,4.25,5,7,True,K4_C2,May–June southwest mode,Apr,709.3521940119766,0.1771518265910075,125.6630368655604,175.71409454271034,0.7151562724242125
MYS_07_05,5,1,102.25,4.25,5,7,True,K4_C3,April–October mode,May,933.5405764824708,0.1287233906059157,120.16850827302481,214.88266528016206,0.5592284892611054
MYS_07_05,6,1,102.25,4.25,5,7,True,K4_C3,April–October mode,Jun,933.5405764824708,0.1188687959736476,110.96884431901618,174.73585037183793,0.6350662676426987
MYS_07_05,7,1,102.25,4.25,5,7,True,K4_C3,April–October mode,Jul,933.5405764824708,0.1056946639096819,98.67025747736544,198.34460881504037,0.4974688148412296
MYS_07_05,8,1,102.25,4.25,5,7,True,K4_C3,April–October mode,Aug,933.5405764824708,0.1309179607663566,122.21722856573402,229.2780659995331,0.5330524227554453
MYS_07_05,9,1,102.25,4.25,5,7,True,K4_C3,April–October mode,Sep,933.5405764824708,0.1376209669856309,128.47475685584095,245.37322680556719,0.5235891402188058
MYS_07_05,10,1,102.25,4.25,5,7,True,K4_C3,April–October mode,Oct,933.5405764824708,0.1386202479765914,129.4076262082102,326.3377254882553,0.39654510067628546
MYS_07_05,11,1,102.25,4.25,5,7,True,K4_C4,November northern mode,Nov,1205.5559009506285,0.2491769875393746,300.39678770919426,477.18030712119435,0.6295246958565275
MYS_07_05,12,1,102.25,4.25,5,7,True,K4_C4,November northern mode,Dec,1205.5559009506285,0.3529067798814952,425.4488509716211,560.6305718404561,0.7588755810710498
MYS_07_06,1,1,102.75,4.25,6,7,True,K4_C4,November northern mode,Jan,1549.9010637810284,0.1192487034702773,184.8236923630912,287.0305803071702,0.6439163804961104
MYS_07_06,2,1,102.75,4.25,6,7,True,K4_C1,January eastern mode,Feb,310.65778178181665,0.2053666456716191,63.79874659631751,109.35697343869126,0.5833989785030487
MYS_07_06,3,1,102.75,4.25,6,7,True,K4_C2,May–June southwest mode,Mar,507.56770545543264,0.1381761742726676,70.13376372418787,178.4459870048233,0.39302516633390133
MYS_07_06,4,1,102.75,4.25,6,7,True,K4_C2,May–June southwest mode,Apr,507.56770545543264,0.1771518265910075,89.91654614003637,137.0857662423328,0.655914531499111
MYS_07_06,5,1,102.75,4.25,6,7,True,K4_C3,April–October mode,May,866.0936866454967,0.1287233906059157,111.48651592738584,190.91276584994876,0.5839657470313464
MYS_07_06,6,1,102.75,4.25,6,7,True,K4_C3,April–October mode,Jun,866.0936866454967,0.1188687959736476,102.95151373192783,164.44608991497748,0.6260502380151222
MYS_07_06,7,1,102.75,4.25,6,7,True,K4_C3,April–October mode,Jul,866.0936866454967,0.1056946639096819,91.54148112429313,192.59278738407158,0.47531105586908434
MYS_07_06,8,1,102.75,4.25,6,7,True,K4_C3,April–October mode,Aug,866.0936866454967,0.1309179607663566,113.38721928824428,219.18348716525335,0.5173164308803793
MYS_07_06,9,1,102.75,4.25,6,7,True,K4_C3,April–October mode,Sep,866.0936866454967,0.1376209669856309,119.19265065630326,232.6304883736641,0.5123689998227978
MYS_07_06,10,1,102.75,4.25,6,7,True,K4_C4,November northern mode,Oct,1549.9010637810284,0.0848590351451178,131.52310884284975,320.12672850998024,0.41084700879248637
MYS_07_06,11,1,102.75,4.25,6,7,True,K4_C4,November northern mode,Nov,1549.9010637810284,0.2491769875393746,386.19967805702873,531.8307379883204,0.7261702840227902
MYS_07_06,12,1,102.75,4.25,6,7,True,K4_C4,November northern mode,Dec,1549.9010637810284,0.3529067798814952,546.9705935538667,670.5778454845391,0.8156705403212992
MYS_07_07,1,1,103.25,4.25,7,7,True,K4_C4,November northern mode,Jan,1649.40199838782,0.1192487034702773,196.68904980903193,297.11277492098003,0.6620013220950975
MYS_07_07,2,1,103.25,4.25,7,7,True,K4_C1,January eastern mode,Feb,308.20807647912847,0.2053666456716191,63.29565883542046,102.59360995723917,0.6169551774404076
MYS_07_07,3,1,103.25,4.25,7,7,True,K4_C2,May–June southwest mode,Mar,479.9622656455021,0.1381761742726676,66.31934966213728,173.8835425327132,0.3814009577683894
MYS_07_07,4,1,103.25,4.25,7,7,True,K4_C2,May–June southwest mode,Apr,479.9622656455021,0.1771518265910075,85.02619205385906,124.95797357048656,0.6804383075714436
MYS_07_07,5,1,103.25,4.25,7,7,True,K4_C3,April–October mode,May,674.8468113727263,0.1287233906059157,86.86856969948816,164.9261020969355,0.5267120764694425
MYS_07_07,6,1,103.25,4.25,7,7,True,K4_C3,April–October mode,Jun,674.8468113727263,0.1188687959736476,80.21822793453126,142.33258263444742,0.5635970798095867
MYS_07_07,7,1,103.25,4.25,7,7,True,K4_C3,April–October mode,Jul,674.8468113727263,0.1056946639096819,71.32770691856079,174.71357988063687,0.4082550822167996
MYS_07_07,8,1,103.25,4.25,7,7,True,K4_C3,April–October mode,Aug,674.8468113727263,0.1309179607663566,88.34956837459542,196.07181981921653,0.45059799238899345
MYS_07_07,9,1,103.25,4.25,7,7,True,K4_C3,April–October mode,Sep,674.8468113727263,0.1376209669856309,92.87307074828425,208.10860109952895,0.4462721399192302
MYS_07_07,10,1,103.25,4.25,7,7,True,K4_C4,November northern mode,Oct,1649.40199838782,0.0848590351451178,139.96666214961957,298.47730507314395,0.46893569383883227
MYS_07_07,11,1,103.25,4.25,7,7,True,K4_C4,November northern mode,Nov,1649.40199838782,0.2491769875393746,410.99302119970133,537.5117210160328,0.7646215052256364
MYS_07_07,12,1,103.25,4.25,7,7,True,K4_C4,November northern mode,Dec,1649.40199838782,0.3529067798814952,582.0851479811487,691.7295392838141,0.8414923968460472
MYS_07_28,1,1,113.75,4.25,28,7,True,K4_C1,January eastern mode,Jan,900.3712269843122,0.3142285883169263,282.92237961645924,335.5068402958872,0.8432685884047756
MYS_07_28,2,1,113.75,4.25,28,7,True,K4_C1,January eastern mode,Feb,900.3712269843122,0.2053666456716191,184.90621874500818,259.6025525776911,0.712266566368493
MYS_07_28,3,1,113.75,4.25,28,7,True,K4_C2,May–June southwest mode,Mar,1038.2447205219528,0.1381761742726676,143.4606834405184,301.0985633358563,0.47645754882097247
MYS_07_28,4,1,113.75,4.25,28,7,True,K4_C2,May–June southwest mode,Apr,1038.2447205219528,0.1771518265910075,183.92694868893403,279.37890731771176,0.6583422866629332
MYS_07_28,5,1,113.75,4.25,28,7,True,K4_C3,April–October mode,May,1401.9418743307522,0.1287233906059157,180.462711496267,308.5167606854194,0.5849364912795667
MYS_07_28,6,1,113.75,4.25,28,7,True,K4_C3,April–October mode,Jun,1401.9418743307522,0.1188687959736476,166.6471426267353,249.74360773596925,0.6672729049502475
MYS_07_28,7,1,113.75,4.25,28,7,True,K4_C3,April–October mode,Jul,1401.9418743307522,0.1056946639096819,148.17777522829834,243.49532408205076,0.6085446436678463
MYS_07_28,8,1,113.75,4.25,28,7,True,K4_C3,April–October mode,Aug,1401.9418743307522,0.1309179607663566,183.53937130034583,291.2269370862262,0.630228004101158
MYS_07_28,9,1,113.75,4.25,28,7,True,K4_C3,April–October mode,Sep,1401.9418743307522,0.1376209669856309,192.93659640304594,303.96083391929994,0.6347416340299606
MYS_07_28,10,1,113.75,4.25,28,7,True,K4_C3,April–October mode,Oct,1401.9418743307522,0.1386202479765914,194.33753026849618,369.35543794462416,0.526153158458797
MYS_07_28,11,1,113.75,4.25,28,7,True,K4_C2,May–June southwest mode,Nov,1038.2447205219528,0.1258092686029743,130.62080891976635,371.87291861069764,0.3512512000275806
MYS_07_28,12,1,113.75,4.25,28,7,True,K4_C1,January eastern mode,Dec,900.3712269843122,0.1648341306180569,148.4119084334723,405.46766185682975,0.36602649827565387
MYS_07_29,1,1,114.25,4.25,29,7,True,K4_C1,January eastern mode,Jan,806.2629689829697,0.3142285883169263,253.3508745557323,305.1894714007157,0.8301429056282252
MYS_07_29,2,1,114.25,4.25,29,7,True,K4_C1,January eastern mode,Feb,806.2629689829697,0.2053666456716191,165.57952146927317,241.25994336025937,0.6863116983411662
MYS_07_29,3,1,114.25,4.25,29,7,True,K4_C2,May–June southwest mode,Mar,1010.2995289288756,0.1381761742726676,139.59932377687028,285.8053954244341,0.48844187692663704
MYS_07_29,4,1,114.25,4.25,29,7,True,K4_C2,May–June southwest mode,Apr,1010.2995289288756,0.1771518265910075,178.97640695378473,272.25457831765925,0.6573862157240196
MYS_07_29,5,1,114.25,4.25,29,7,True,K4_C3,April–October mode,May,1465.0091604820575,0.1287233906059157,188.58094640597653,311.7028429431515,0.6050023305060775
MYS_07_29,6,1,114.25,4.25,29,7,True,K4_C3,April–October mode,Jun,1465.0091604820575,0.1188687959736476,174.14387499686646,252.49713519555468,0.6896865378769348
MYS_07_29,7,1,114.25,4.25,29,7,True,K4_C3,April–October mode,Jul,1465.0091604820575,0.1056946639096819,154.8436508417563,246.55304571546782,0.6280338188174407
MYS_07_29,8,1,114.25,4.25,29,7,True,K4_C3,April–October mode,Aug,1465.0091604820575,0.1309179607663566,191.796011794343,295.486962009472,0.6490845162508215
