region_id,component,component_label,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,annual_component_contribution_mm,reconstructed_annual_precipitation_mm,annual_component_fraction
SLR_02_01,K4_C3,April–October mode,25,80.25000000000001,6.749999999999995,1,2,False,458.7830444770267,2641.5227065752442,0.17368127986749077
SLR_02_01,K4_C4,November northern mode,25,80.25000000000001,6.749999999999995,1,2,False,621.6267489749415,2641.5227065752442,0.23532894395630075
SLR_02_02,K4_C1,January eastern mode,25,80.75000000000001,6.749999999999995,2,2,False,258.4376153309979,2379.908477633254,0.10859140919066192
SLR_02_02,K4_C2,May–June southwest mode,25,80.75000000000001,6.749999999999995,2,2,False,1128.955748730851,2379.908477633254,0.47436939669779354
SLR_02_02,K4_C3,April–October mode,25,80.75000000000001,6.749999999999995,2,2,False,421.659534940158,2379.908477633254,0.17717468503641176
SLR_02_02,K4_C4,November northern mode,25,80.75000000000001,6.749999999999995,2,2,False,570.8555786312468,2379.908477633254,0.23986450907513265
SLR_02_03,K4_C1,January eastern mode,25,81.25000000000001,6.749999999999995,3,2,False,401.73510775154585,1842.484842905681,0.21803984401738233
SLR_02_03,K4_C2,May–June southwest mode,25,81.25000000000001,6.749999999999995,3,2,False,564.6298116788147,1842.484842905681,0.3064501799582613
SLR_02_03,K4_C3,April–October mode,25,81.25000000000001,6.749999999999995,3,2,False,365.8713700615433,1842.484842905681,0.19857496872785546
SLR_02_03,K4_C4,November northern mode,25,81.25000000000001,6.749999999999995,3,2,False,510.248553413777,1842.484842905681,0.27693500729650083
SLR_02_04,K4_C1,January eastern mode,15,81.6566666666667,6.77666666666666,4,2,False,481.39330149129523,1587.3653301159684,0.3032656014076646
SLR_02_04,K4_C2,May–June southwest mode,15,81.6566666666667,6.77666666666666,4,2,False,286.7186391521099,1587.3653301159684,0.1806254891123035
SLR_02_04,K4_C3,April–October mode,15,81.6566666666667,6.77666666666666,4,2,False,334.0820576572565,1587.3653301159684,0.21046324454676693
SLR_02_04,K4_C4,November northern mode,15,81.6566666666667,6.77666666666666,4,2,False,485.17133181530664,1587.3653301159684,0.30564566493326484
SLR_03_00,K4_C1,January eastern mode,9,79.90555555555557,7.272222222222216,0,3,False,0.0,2283.702054069148,0.0
SLR_03_00,K4_C2,May–June southwest mode,9,79.90555555555557,7.272222222222216,0,3,False,1176.3572678630014,2283.702054069148,0.5151097822795857
SLR_03_00,K4_C3,April–October mode,9,79.90555555555557,7.272222222222216,0,3,False,555.1013536416689,2283.702054069148,0.24307082995024581
SLR_03_00,K4_C4,November northern mode,9,79.90555555555557,7.272222222222216,0,3,False,552.2434325644774,2283.702054069148,0.24181938777016843
SLR_03_01,K4_C1,January eastern mode,25,80.25000000000001,7.249999999999995,1,3,False,78.43244403486594,2391.5996270806772,0.03279497251410975
SLR_03_01,K4_C2,May–June southwest mode,25,80.25000000000001,7.249999999999995,1,3,False,1216.2424032097415,2391.5996270806772,0.5085476638472118
SLR_03_01,K4_C3,April–October mode,25,80.25000000000001,7.249999999999995,1,3,False,536.4942494374664,2391.5996270806772,0.2243244409986557
SLR_03_01,K4_C4,November northern mode,25,80.25000000000001,7.249999999999995,1,3,False,560.4305303986034,2391.5996270806772,0.23433292264002267
SLR_03_02,K4_C1,January eastern mode,25,80.75000000000001,7.249999999999995,2,3,False,256.4830795399673,2301.2151223585533,0.11145549890055198
