alpha_policy,target,depth_label,selected_alpha,feature,feature_type,component,component_label,lag_months,standardized_coefficient,bootstrap_mean_coefficient,bootstrap_median_coefficient,bootstrap_q025_coefficient,bootstrap_q975_coefficient,probability_positive,probability_negative,stable_positive_95,stable_negative_95,absolute_standardized_coefficient
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.10706094112790558,0.10714236502945423,0.10720023512840271,0.0735602905973792,0.13975732252001757,1.0,0.0,True,False,0.10706094112790558
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.16739504619244247,0.16683701395839454,0.1669239178299904,0.09501124005764723,0.2409661967307329,1.0,0.0,True,False,0.16739504619244247
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.11187026141862598,0.11033986892504617,0.11107916384935379,0.04289161683991551,0.1735085967928171,0.9988,0.0012,True,False,0.11187026141862598
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.13895643772583843,0.14028157095611096,0.13945941627025604,0.10556721519678831,0.17902228161692618,1.0,0.0,True,False,0.13895643772583843
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.04766833971503966,0.04918954643977922,0.048101477324962616,0.01659013135358691,0.08593368474394082,0.9986,0.0014,True,False,0.04766833971503966
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.07849190319798463,0.0780592001037905,0.07773570343852043,0.024850439978763465,0.1320836577564477,0.9984,0.0016,True,False,0.07849190319798463
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C4_L0_mm,precipitation_component,C4,November northern,0.0,0.1518149527091416,0.15453180436780675,0.15428516268730164,0.06653130203485488,0.24767328239977357,0.9998,0.0002,True,False,0.1518149527091416
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C4_L1_mm,precipitation_component,C4,November northern,1.0,0.27804943504105917,0.27461393382251265,0.27625247836112976,0.21656651943922042,0.3261969290673733,1.0,0.0,True,False,0.27804943504105917
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C4_L2_mm,precipitation_component,C4,November northern,2.0,0.1250301373687362,0.1260454024270177,0.12627363204956055,0.08206971008330584,0.1696826584637165,1.0,0.0,True,False,0.1250301373687362
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C4_L3_mm,precipitation_component,C4,November northern,3.0,0.1892496309690438,0.18543242252171038,0.1854855790734291,0.1317218743264675,0.2392587173730134,1.0,0.0,True,False,0.1892496309690438
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,PET_mm,atmospheric,,,,-0.14833583631923888,-0.14261096365062548,-0.1440337747335434,-0.2708642467856407,-0.002192143094726099,0.0232,0.9768,False,True,0.14833583631923888
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,latitude,spatial,,,,-0.04572123010754082,-0.04353273889058037,-0.052137088030576706,-0.21341246291995047,0.17482903562486143,0.3048,0.6952,False,False,0.04572123010754082
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,longitude,spatial,,,,-0.22763330929580086,-0.23193927560995797,-0.229257732629776,-0.3861114375293255,-0.08886261638253933,0.0004,0.9996,False,True,0.22763330929580086
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C1_L0_mm,precipitation_component,C1,January eastern,0.0,0.140313973146197,0.13270649279430508,0.13241152465343475,0.07764871921390296,0.18892605230212203,1.0,0.0,True,False,0.140313973146197
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C1_L1_mm,precipitation_component,C1,January eastern,1.0,0.1399468165435275,0.1354759528167546,0.13569603115320206,0.08574681989848613,0.18427231423556797,1.0,0.0,True,False,0.1399468165435275
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C1_L2_mm,precipitation_component,C1,January eastern,2.0,0.10057927520004575,0.09966527579128742,0.09884099289774895,0.0695182267576456,0.1332680273801088,1.0,0.0,True,False,0.10057927520004575
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C1_L3_mm,precipitation_component,C1,January eastern,3.0,0.1488357985254064,0.14156157020181417,0.1425652727484703,0.09164358209818602,0.18529046662151807,1.0,0.0,True,False,0.1488357985254064
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C2_L0_mm,precipitation_component,C2,May–June southwest,0.0,0.1465355399284565,0.142196982350669,0.14327247440814972,0.031145935924723745,0.24567137099802483,0.993,0.007,True,False,0.1465355399284565
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C2_L1_mm,precipitation_component,C2,May–June southwest,1.0,0.24591782888942554,0.2388143593966961,0.24040868878364563,0.1750554781407118,0.2954270884394646,1.0,0.0,True,False,0.24591782888942554
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.1699312025934713,0.16813677223920823,0.16802313178777695,0.11395574882626533,0.2206070680171251,1.0,0.0,True,False,0.1699312025934713
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.2179395382586672,0.21256907523050905,0.2130633294582367,0.12907650582492353,0.2932926699519156,1.0,0.0,True,False,0.2179395382586672
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.09252697557568478,0.09265093304693582,0.09267359972000122,0.023472044989466666,0.1591953206807374,0.995,0.005,True,False,0.09252697557568478
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.14093426923457733,0.14099256411641836,0.14133945852518082,0.10965993832796812,0.17199820354580878,1.0,0.0,True,False,0.14093426923457733
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.06251261621708956,0.06366785962954163,0.06406857073307037,0.032512756157666446,0.0921306638047099,1.0,0.0,True,False,0.06251261621708956
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.04670867350482063,0.045929377625692,0.0463690310716629,-0.0058677356457337735,0.09332666192203758,0.958,0.042,False,False,0.04670867350482063
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C4_L0_mm,precipitation_component,C4,November northern,0.0,0.06316727636436273,0.05804808672048239,0.058134157210588455,-0.05340890130028128,0.17118347138166404,0.8466,0.1534,False,False,0.06316727636436273
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C4_L1_mm,precipitation_component,C4,November northern,1.0,0.26309311727765605,0.26032232624292373,0.2609620988368988,0.18546194322407245,0.32861930727958677,1.0,0.0,True,False,0.26309311727765605
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C4_L2_mm,precipitation_component,C4,November northern,2.0,0.16571186044399758,0.16411257844939828,0.16518305242061615,0.104739810526371,0.21740670055150982,1.0,0.0,True,False,0.16571186044399758
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,K4_C4_L3_mm,precipitation_component,C4,November northern,3.0,0.14788081221719887,0.14789372717430815,0.14740285277366638,0.06153299007564783,0.23372553028166282,0.9996,0.0004,True,False,0.14788081221719887
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,PET_mm,atmospheric,,,,0.04579887793105545,0.036750531141341525,0.037747697904706,-0.13037432171404362,0.20229595638811573,0.6668,0.3332,False,False,0.04579887793105545
minimum_geographic_cv_rmse,SM_100_200cm_mm,100–200 cm,30.0,latitude,spatial,,,,-0.026720027440875732,-0.038807998293417224,-0.03975662402808666,-0.22984647154808044,0.16146125979721532,0.3526,0.6474,False,False,0.026720027440875732
