component_count,run_index,random_seed,rss,relative_error,explained_variance,iterations,converged,mean_component_stability,minimum_component_stability
3,68,20290874,35717.06298668348,0.05344127347952637,0.9902944517218735,317,True,0.9972983389758311,0.9938667872648247
3,69,20290875,35717.06298823851,0.05344127348068971,0.9902944517214509,311,True,0.9990906136745835,0.9975069924337564
3,70,20290876,35717.062985494806,0.05344127347863708,0.9902944517221965,305,True,0.9998437379485275,0.9995578535512625
3,71,20290877,35717.063120381885,0.053441273579548754,0.9902944516855431,3151,True,0.9945791444408368,0.9842106225972583
3,72,20290878,35717.06298374245,0.053441273477326114,0.9902944517226727,463,True,0.996120867863536,0.9938668079571078
3,73,20290879,35717.062982448275,0.05344127347635792,0.9902944517230243,306,True,1.0,0.9999999999999998
3,74,20290880,35717.06298618769,0.05344127347915545,0.9902944517220083,384,True,0.9961391828119511,0.9938667444801477
3,75,20290881,35717.063216093215,0.05344127365115229,0.990294451659535,2903,True,0.9954880069316024,0.9869384378429911
3,76,20290882,35717.06298509045,0.05344127347833458,0.9902944517223063,301,True,0.9999729623815844,0.9999561532551321
3,77,20290883,35717.06298424884,0.05344127347770495,0.990294451722535,273,True,0.9976430022569324,0.9946043625481692
3,78,20290884,35717.06298968619,0.05344127348177273,0.9902944517210576,393,True,0.9961265776611216,0.9938665433651785
3,79,20290885,35717.063120374296,0.05344127357954308,0.9902944516855451,2129,True,0.9979762622418455,0.9944019753723414
3,80,20290886,35717.063166852306,0.05344127361431419,0.9902944516729155,2947,True,0.99422735125501,0.9831558771713648
3,81,20290887,35717.06315646952,0.05344127360654664,0.9902944516757368,1250,True,0.9977767106318884,0.9938038209432011
3,82,20290888,35717.063154292984,0.05344127360491832,0.9902944516763282,2244,True,0.9977222789829119,0.9936404978169023
3,83,20290889,35717.06318556472,0.053441273628313316,0.9902944516678307,3090,True,0.9923306063892231,0.9774658763957597
3,84,20290890,35717.06298654941,0.05344127347942605,0.9902944517219099,314,True,0.9984722382206844,0.9958532967391016
3,85,20290891,35717.062984081225,0.05344127347757954,0.9902944517225807,318,True,0.999401819157656,0.998254441329559
3,86,20290892,35717.06298744096,0.053441273480093046,0.9902944517216676,298,True,0.9999787384287094,0.9999748157117043
3,87,20290893,35717.063133143354,0.053441273589095874,0.9902944516820753,2357,True,0.9976458765326622,0.9934110014017354
3,88,20290894,35717.062984992386,0.05344127347826122,0.990294451722333,403,True,0.9961269281454769,0.9938668189533134
3,89,20290895,35717.06298318305,0.05344127347690761,0.9902944517228247,370,True,0.9962017171763516,0.9938669743703087
3,90,20290896,35717.06298595107,0.053441273478978424,0.9902944517220725,451,True,0.99612054305986,0.9938664794535921
3,91,20290897,35717.06298778283,0.05344127348034881,0.9902944517215748,322,True,0.9968940042050572,0.9938666813755636
3,92,20290898,35717.062985242854,0.05344127347844859,0.9902944517222649,426,True,0.9961212297726472,0.9938667360608813
3,93,20290899,35717.06298823491,0.053441273480687015,0.9902944517214519,404,True,0.9961229734040088,0.9938666735280907
3,94,20290900,35717.062988134276,0.053441273480611735,0.9902944517214792,404,True,0.9961250244045446,0.9938665751424194
3,95,20290901,35717.0629842083,0.05344127347767461,0.9902944517225462,402,True,0.9961248723820703,0.9938669065441385
3,96,20290902,35717.06298751059,0.05344127348014513,0.9902944517216488,316,True,0.9972433099215197,0.9938666026795728
3,97,20290903,35717.06298547615,0.05344127347862314,0.9902944517222015,276,True,0.9975553195538515,0.9940018075301045
3,98,20290904,35717.06318939502,0.05344127363117884,0.9902944516667899,2315,True,0.9971456317907937,0.9919109992840576
3,99,20290905,35717.06298546072,0.0534412734786116,0.9902944517222058,418,True,0.9961228816522728,0.9938667534549608
4,0,20300806,18781.936681212395,0.0387533378782923,0.9948963050717752,9974,True,0.9992739606344173,0.9986249579785947
4,1,20300807,18781.936529848892,0.03875333772213585,0.9948963051129058,9683,True,0.9998024883510532,0.9993530661398984
4,2,20300808,18781.936881497044,0.03875333808491898,0.994896305017351,16573,True,0.9975147652073969,0.9963706039349839
4,3,20300809,18781.936359010673,0.03875333754588801,0.9948963051593285,5466,True,0.9976037660085111,0.9940034953250761
4,4,20300810,18781.936640933192,0.038753337836737636,0.9948963050827204,14365,True,0.9998651867199718,0.9995036680076914
4,5,20300811,18781.93708020723,0.038753338289921356,0.9948963049633547,16985,True,0.9992179428223854,0.9972514109946934
4,6,20300812,18781.982476946192,0.03875338512412465,0.9948962926275072,20000,False,0.9950522893917244,0.9829270527652924
4,7,20300813,18781.936729643676,0.03875333792825715,0.9948963050586148,14125,True,0.9968260976707746,0.9939019280032124
4,8,20300814,18781.936518428527,0.03875333771035386,0.9948963051160091,8194,True,0.9994406307594539,0.9984490144186018
4,9,20300815,18781.936643751407,0.0387533378396451,0.9948963050819546,12958,True,0.9999824532813755,0.9999376981319266
4,10,20300816,18781.93640542907,0.038753337593776256,0.994896305146715,8348,True,0.9994598773359094,0.9981340493444861
4,11,20300817,18781.936273379222,0.038753337457545035,0.9948963051825974,9142,True,0.9985146229428427,0.9967657044385863
4,12,20300818,18781.936660309777,0.03875333785672779,0.9948963050774552,7664,True,0.9960042482977214,0.9923472828433397
4,13,20300819,18781.93654821361,0.03875333774108208,0.9948963051079155,8670,True,0.9996205078310508,0.9986875203895923
4,14,20300820,18781.93659220412,0.03875333778646555,0.9948963050959618,16115,True,0.9979230722074104,0.9963718504961413
