target,depth_label,lag_window,test_fold,validation_fold,alpha,validation_rmse_mm,validation_r_squared,selected_alpha
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,100.0,1.0999805616357263,-2.924875865141323,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,300.0,0.9694220277014651,-2.0484682202577034,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,1000.0,0.8556039906770697,-1.3746603862630478,True
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,0.0,3.4446055642535662,0.25829350072544055,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,0.0001,3.444605390934756,0.2582935753648631,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,0.001,3.4446038310805296,0.2582942471130072,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,0.01,3.444588234030043,0.25830096393528945,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,0.1,3.444432412597807,0.25836806629074105,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,1.0,3.442889001313807,0.25903255117948565,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,10.0,3.428837818567459,0.26506830968799233,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,30.0,3.4050435603217166,0.275232965885138,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,100.0,3.368830231956813,0.29056707786484615,True
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,300.0,3.392955657092322,0.28036967735280405,False
SM_0_10cm_mm,0–10 cm,L0_L1,2,3,1000.0,3.599537388785505,0.19007190347087777,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,0.0,1.998746021928552,0.2631020733041881,True
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,0.0001,1.998746280762949,0.2631018824499818,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,0.001,1.9987486102584706,0.2631001647713733,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,0.01,1.9987719038223974,0.2630829889010786,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,0.1,1.99900470040802,0.26291132173481147,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,1.0,2.001318835725859,0.2612037617154028,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,10.0,2.02315008838622,0.24499763075890413,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,30.0,2.0644148056913116,0.21388507810399737,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,100.0,2.160491031518873,0.13901210509390294,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,300.0,2.2884600644573543,0.03399630881688853,False
SM_0_10cm_mm,0–10 cm,L0_L1,3,4,1000.0,2.453546440241361,-0.11040312439992395,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,0.0,0.833078727550745,-3.8887417868350873,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,0.0001,0.8330786111259497,-3.888740420407875,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,0.001,0.833077563310661,-3.8887281226639026,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,0.01,0.8330670859365058,-3.888605155214427,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,0.1,0.8329623899553795,-3.8873764782920075,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,1.0,0.8319230951577288,-3.875188038125283,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,10.0,0.8222039184284342,-3.7619419151481077,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,30.0,0.8038543952336815,-3.551764566460344,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,100.0,0.7600818995206413,-3.069544390993773,False
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,300.0,0.7168706941092926,-2.6199840969656476,True
SM_0_10cm_mm,0–10 cm,L0_L1,4,0,1000.0,0.8117576028780901,-3.6417071734680784,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,0.0,1.2910166165567238,0.417961993303978,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,0.0001,1.2910166004304935,0.41796200784457915,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,0.001,1.2910164552945718,0.41796213870984555,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,0.01,1.2910150039502637,0.4179634473482582,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,0.1,1.291000492005048,0.41797653230089993,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,1.0,1.2908555288558492,0.4181072328209261,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,10.0,1.2894245724690432,0.41939661282602514,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,30.0,1.2863456433231115,0.42216606897126696,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,100.0,1.2759009392847864,0.4315116163046907,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,300.0,1.2520112868833595,0.45260078698431916,False
SM_0_10cm_mm,0–10 cm,L0_L2,0,1,1000.0,1.2347008847340155,0.467632911276473,True
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,0.0,1.1498680006295694,-3.2889588649126438,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,0.0001,1.1498678480379605,-3.2889577265922636,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,0.001,1.149866474725948,-3.2889474818086395,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,0.01,1.1498527428395533,-3.288845043848756,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,0.1,1.1497155471078564,-3.287821649967798,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,1.0,1.1483556680284652,-3.2776844111029773,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,10.0,1.1357736425828135,-3.184460536255334,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,30.0,1.112202092359918,-3.0125764502740635,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,100.0,1.0509674856535642,-2.5828981673948737,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,300.0,0.943015854653012,-1.8846550907402322,False
SM_0_10cm_mm,0–10 cm,L0_L2,1,2,1000.0,0.8380012399544404,-1.277955452992813,True
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,0.0,3.710163075760644,0.13952335972288632,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,0.0001,3.710162638237007,0.13952356266752186,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,0.001,3.710158700587253,0.13952538913895418,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,0.01,3.7101193303223856,0.13954365085567966,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,0.1,3.709726249728167,0.13972596885978816,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,1.0,3.705856463669613,0.14151981555999227,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,10.0,3.6722976548913313,0.15699754840545244,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,30.0,3.6198748048493212,0.1808938475563605,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,100.0,3.5375147224587287,0.21774274627658008,False
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,300.0,3.515111586591664,0.22761946697486812,True
SM_0_10cm_mm,0–10 cm,L0_L2,2,3,1000.0,3.6518071462400425,0.16637879120762655,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,0.0,1.940263268525463,0.3055940491801513,True
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,0.0001,1.940263725242015,0.3055937222691243,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,0.001,1.9402678356320022,0.30559078010863616,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,0.01,1.9403089336942358,0.305561362339542,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,0.1,1.940719331775412,0.3052675674500087,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,1.0,1.944766250533929,0.30236714072800397,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,10.0,1.9804848380261377,0.2765056337118167,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,30.0,2.0398038634307927,0.23251670775317246,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,100.0,2.156688926584368,0.14203982963418726,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,300.0,2.286377802894788,0.035753435603544714,False
SM_0_10cm_mm,0–10 cm,L0_L2,3,4,1000.0,2.43001111709932,-0.089202503215015,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,0.0,0.6938610244320069,-2.3913295593083577,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,0.0001,0.6938608349455357,-2.3913277070325836,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,0.001,0.6938591295943706,-2.391311036838048,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,0.01,0.6938420787628079,-2.391144363343933,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,0.1,0.6936718378823343,-2.3894804672055403,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,1.0,0.6919956114989397,-2.3731192090770907,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,10.0,0.6773927010854981,-2.2322581182822914,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,30.0,0.6536308463138014,-2.0094704822592457,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,100.0,0.6052491950789318,-1.5804381285355205,False
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,300.0,0.5631683315184144,-1.2340940907399154,True
SM_0_10cm_mm,0–10 cm,L0_L2,4,0,1000.0,0.7007587078025107,-2.459091224471,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,0.0,1.3233244328035179,0.3884663734877464,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,0.0001,1.3233243682028335,0.38846643319417795,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,0.001,1.3233237867967411,0.3884669705518685,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,0.01,1.3233179727430433,0.38847234410911313,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,0.1,1.3232598330689713,0.3885260775855759,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,1.0,1.3226786585046544,0.38906307726137,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,10.0,1.3169813607292404,0.3943148339118132,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,30.0,1.3056892655702583,0.40465686793327127,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,100.0,1.2785651903201158,0.42913497865680494,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,300.0,1.24048650063655,0.46263204361669485,False
SM_0_10cm_mm,0–10 cm,L0_L3,0,1,1000.0,1.2044875810902158,0.4933683308839001,True
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,0.0,1.1509746123102702,-3.297218066505587,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,0.0001,1.150974388261206,-3.2972163935102285,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,0.001,1.1509723718466571,-3.297201336768472,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,0.01,1.1509522103764227,-3.297050790777713,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,0.1,1.1507508626359682,-3.295547468953732,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,1.0,1.1487635306828015,-3.280723569791734,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,10.0,1.1310598938210472,-3.1497994662975772,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,30.0,1.1006765181772677,-2.9298439659434297,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,100.0,1.0316868174478078,-2.452642936376021,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,300.0,0.9226885121075938,-1.761634066601426,False
SM_0_10cm_mm,0–10 cm,L0_L3,1,2,1000.0,0.817462223644992,-1.1676606258430198,True
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,0.0,3.910268079735859,0.0442019229107633,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,0.0001,3.9102677042911003,0.04420210645283962,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,0.001,3.910264325318835,0.04420375831579215,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,0.01,3.9102305386212595,0.04422027538796969,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,0.1,3.909892973871888,0.0443852905263773,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,1.0,3.9065472731261126,0.0460200324198029,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,10.0,3.8758421859810595,0.06095747957890818,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,30.0,3.8219615556849824,0.08688449875280346,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,100.0,3.7206355494318943,0.13465886365979274,False
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,300.0,3.661091416968996,0.16213464406417277,True
SM_0_10cm_mm,0–10 cm,L0_L3,2,3,1000.0,3.7367257705415264,0.12715818975111137,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,0.0,1.9964509300189295,0.26479341122281863,True
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,0.0001,1.9964514534150906,0.26479302573439933,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,0.001,1.9964561639064666,0.26478955638863444,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,0.01,1.996503261489945,0.2647548678797659,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,0.1,1.9969735062597878,0.26440847636415343,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,1.0,2.001604736874354,0.2609926631372931,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,10.0,2.042168730228379,0.2307360974653495,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,30.0,2.10862909546027,0.17985149171212844,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,100.0,2.234404937790894,0.07909278673877218,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,300.0,2.3590570166122733,-0.026523710273368417,False
SM_0_10cm_mm,0–10 cm,L0_L3,3,4,1000.0,2.471162242459839,-0.12640515441542766,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,0.0,0.6856513273153656,-2.3115525525477514,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,0.0001,0.6856509226235332,-2.311548643395033,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,0.001,0.6856472805007726,-2.3115134621263866,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,0.01,0.6856108695387939,-2.311161758874169,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,0.1,0.6852477831084673,-2.3076556313737444,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,1.0,0.6817159696890787,-2.273647735644109,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,10.0,0.653830495731586,-2.0113092289927477,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,30.0,0.6158142718817474,-1.6713113461230256,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,100.0,0.5455363291537398,-1.0963913710323498,False
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,300.0,0.4743313720372599,-0.5848519865230093,True
SM_0_10cm_mm,0–10 cm,L0_L3,4,0,1000.0,0.6062275970456038,-1.5887875700168292,False
SM_10_40cm_mm,10–40 cm,L0,0,1,0.0,4.428913491472903,0.35751116246856474,False
SM_10_40cm_mm,10–40 cm,L0,0,1,0.0001,4.42891327754411,0.35751122453654505,False
SM_10_40cm_mm,10–40 cm,L0,0,1,0.001,4.428911352204189,0.35751178314265997,False
SM_10_40cm_mm,10–40 cm,L0,0,1,0.01,4.428892100706109,0.3575173686388722,False
SM_10_40cm_mm,10–40 cm,L0,0,1,0.1,4.42869977574255,0.35757316713788034,False
SM_10_40cm_mm,10–40 cm,L0,0,1,1.0,4.426795431125423,0.35812553650633383,False
SM_10_40cm_mm,10–40 cm,L0,0,1,10.0,4.409549481894604,0.3631170351182338,False
SM_10_40cm_mm,10–40 cm,L0,0,1,30.0,4.381310579161153,0.3712481552232315,False
SM_10_40cm_mm,10–40 cm,L0,0,1,100.0,4.351376941209386,0.3798102220582399,True
SM_10_40cm_mm,10–40 cm,L0,0,1,300.0,4.444095714251805,0.3530987359727328,False
SM_10_40cm_mm,10–40 cm,L0,0,1,1000.0,4.74265924768396,0.26325866500123407,False
SM_10_40cm_mm,10–40 cm,L0,1,2,0.0,3.808145920512911,-3.9302241491734584,False
SM_10_40cm_mm,10–40 cm,L0,1,2,0.0001,3.808145447615477,-3.9302229246982137,False
SM_10_40cm_mm,10–40 cm,L0,1,2,0.001,3.808141191549213,-3.9302119044554074,False
SM_10_40cm_mm,10–40 cm,L0,1,2,0.01,3.8080986319390853,-3.930101705429987,False
SM_10_40cm_mm,10–40 cm,L0,1,2,0.1,3.8076731410586686,-3.929000055328001,False
SM_10_40cm_mm,10–40 cm,L0,1,2,1.0,3.8034287244847294,-3.918017458568536,False
SM_10_40cm_mm,10–40 cm,L0,1,2,10.0,3.7620051048386682,-3.811475326247405,False
SM_10_40cm_mm,10–40 cm,L0,1,2,30.0,3.676097719312249,-3.594239134005348,False
SM_10_40cm_mm,10–40 cm,L0,1,2,100.0,3.4292375536651933,-2.9979250134402067,False
SM_10_40cm_mm,10–40 cm,L0,1,2,300.0,3.0220287122016383,-2.1048217669822082,False
SM_10_40cm_mm,10–40 cm,L0,1,2,1000.0,2.9778706373105095,-2.0147489804121532,True
SM_10_40cm_mm,10–40 cm,L0,2,3,0.0,11.413171132599908,0.22003069906192374,False
SM_10_40cm_mm,10–40 cm,L0,2,3,0.0001,11.413170380638682,0.22003080183908308,False
SM_10_40cm_mm,10–40 cm,L0,2,3,0.001,11.41316361306384,0.22003172682279604,False
SM_10_40cm_mm,10–40 cm,L0,2,3,0.01,11.413095944859403,0.2200409755986641,False
SM_10_40cm_mm,10–40 cm,L0,2,3,0.1,11.412420016596982,0.22013335732214256,False
SM_10_40cm_mm,10–40 cm,L0,2,3,1.0,11.405735499783534,0.22104666142090312,False
SM_10_40cm_mm,10–40 cm,L0,2,3,10.0,11.345798243554071,0.22921196597879911,False
SM_10_40cm_mm,10–40 cm,L0,2,3,30.0,11.248582459189134,0.24236427721952192,False
SM_10_40cm_mm,10–40 cm,L0,2,3,100.0,11.118726074270977,0.25975597130657446,True
SM_10_40cm_mm,10–40 cm,L0,2,3,300.0,11.244578802022707,0.24290350496403657,False
SM_10_40cm_mm,10–40 cm,L0,2,3,1000.0,11.993157171470084,0.1387447121772436,False
SM_10_40cm_mm,10–40 cm,L0,3,4,0.0,6.971622400428152,0.14823198066211674,True
SM_10_40cm_mm,10–40 cm,L0,3,4,0.0001,6.971623370627598,0.14823174359106783,False
SM_10_40cm_mm,10–40 cm,L0,3,4,0.001,6.971632102361054,0.14822960996518364,False
SM_10_40cm_mm,10–40 cm,L0,3,4,0.01,6.971719413605187,0.1482082750476008,False
SM_10_40cm_mm,10–40 cm,L0,3,4,0.1,6.9725919174091615,0.14799505991917583,False
SM_10_40cm_mm,10–40 cm,L0,3,4,1.0,6.981256497597977,0.14587623465448074,False
SM_10_40cm_mm,10–40 cm,L0,3,4,10.0,7.062242489074256,0.12594478681966936,False
SM_10_40cm_mm,10–40 cm,L0,3,4,30.0,7.211788564161577,0.08853585796130647,False
SM_10_40cm_mm,10–40 cm,L0,3,4,100.0,7.544151250799441,0.0025884561061364497,False
SM_10_40cm_mm,10–40 cm,L0,3,4,300.0,7.956218340307573,-0.10934595027491811,False
SM_10_40cm_mm,10–40 cm,L0,3,4,1000.0,8.418180020806243,-0.24190974299085855,False
SM_10_40cm_mm,10–40 cm,L0,4,0,0.0,2.64922550732094,-4.359702811742343,False
SM_10_40cm_mm,10–40 cm,L0,4,0,0.0001,2.6492252931090916,-4.3597019449895535,False
SM_10_40cm_mm,10–40 cm,L0,4,0,0.001,2.6492233652092807,-4.359694144245214,False
