region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight,C6_scaled_loading,C6_raw_weight,C7_scaled_loading,C7_raw_weight
MYS_04_07,1,103.25,2.75,7,4,True,211.48470523092885,2.168319520291353,101.71766330801428,2.1753299836371873,303.1597035601918,3.4051203100094463,563.8086476788864,15.410190076166149,384.6948011862072,3.967756164498212,952.3212024373869,13.778489493726937,61.61390982554814,1.102730979093163
MYS_04_08,1,103.75,2.75,8,4,True,164.26301797166644,1.684162965548794,180.9835214948804,3.8705065378850416,328.41018629522443,3.6887362740999086,500.88415385782554,13.690318601648853,339.05215436478215,3.4969962459048096,1034.8680675727087,14.972804091675737,43.33116811470382,0.7755167879407123
MYS_04_09,1,104.25,2.75,9,4,True,241.69341986488115,2.4780447344726118,301.37634755822387,6.445222824449336,338.7499571034946,3.8048736207413394,329.4870056651189,9.005639423640321,288.1001960400748,2.9714758954536533,984.3773356579577,14.242287940783129,11.546596889689233,0.20665447346893479
MYS_04_23,1,111.25,2.75,23,4,True,181.05364046386268,1.8563145850615024,401.7379088177213,8.591551262523314,251.25841264884158,2.8221597854987808,134.34960794392057,3.6720844981671408,831.8406220962795,8.579634416751452,1013.2325127750851,14.659773925270711,714.6995888842348,12.791289818147519
MYS_04_24,1,111.75,2.75,24,4,True,270.30168296050533,2.7713607699946015,398.6497373689596,8.525507748264033,269.4573616499155,3.026572212799097,148.08581970799946,4.047526831452325,838.7591882590148,8.6509927596691,950.3822235911774,13.750435724061116,809.0179532685636,14.479346664377228
MYS_04_25,1,112.25,2.75,25,4,True,378.83102672057794,3.8840951133241273,407.88332330957115,8.7229768573634,332.14283454075,3.730661754965926,160.63940312057872,4.3906452056050975,876.5645314957335,9.040918444175178,832.330204430729,12.042421136595882,888.0328636969783,15.893510929985238
MYS_04_26,1,112.75,2.75,26,4,True,504.3531601128969,5.17105386415192,425.1483774967086,9.092206633402128,371.1507215577775,4.168802268933876,156.57369980700975,4.279520161472961,916.1012985035129,9.448702096399565,733.097897300104,10.606696196588052,873.1108783324715,15.626445658886448
MYS_04_27,1,113.25,2.75,27,4,True,616.259200445354,6.318408947945905,453.7703244070869,9.704314474649717,389.8465239881599,4.378795403971295,131.1034652052642,3.583359933861501,944.2364682529054,9.73888926001117,673.3718484451455,9.742560509444225,764.5466233136465,13.683423903403106
MYS_04_28,1,113.75,2.75,28,4,True,848.5234225846953,8.69977759670986,435.0247079995727,9.303421452662512,352.7034502907371,3.9616006609431857,129.11597209217157,3.5290371653585386,882.8628072537044,9.10587908930826,570.5538362307707,8.25495643485701,645.7943345020419,11.558062469896486
MYS_04_29,1,114.25,2.75,29,4,True,1175.5163882158265,12.052385198293756,378.6432935960904,8.09765072137493,271.4441693620682,3.0488882370374273,146.01153409030837,3.9908318237179223,751.0839510785661,7.746707176074265,433.64783839148265,6.2741564190337185,519.8559734970013,9.30408877256602
