region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight
MYS_07_31,1,115.25,4.25,31,7,True,677.4196789793422,6.908678520801578,978.9225619248277,9.944010303100788,1134.6514311291617,10.027218161832128,387.7702840910726,4.624743442938999
MYS_07_32,1,115.75,4.25,32,7,True,628.3870967421296,6.408618722963911,980.517592528296,9.960212811216916,1136.4671373439,10.043264043266268,298.2531882179246,3.5571175335924967
MYS_07_33,1,116.25,4.25,33,7,True,636.3655156966794,6.489986792672637,1025.46510801503,10.416794950073767,1141.3123484582645,10.086082469745946,256.82302527131384,3.0630005723706
MYS_07_34,1,116.75,4.25,34,7,True,670.5191087901187,6.838302913881801,1039.144884043812,10.55575572088984,1117.8127794350276,9.878410493277778,262.6637758267033,3.1326603011870953
MYS_07_35,1,117.25,4.25,35,7,True,729.240318332041,7.437172376441567,1031.0118855409294,10.473139767337042,1071.6624114996368,9.470567348818458,305.34561661480564,3.641705401896728
MYS_07_36,1,117.75,4.25,36,7,True,728.5753261036512,7.430390439531054,943.4376682121969,9.583550587074818,959.2673384149595,8.477302027667301,320.3333557042005,3.8204567165845758
MYS_07_37,1,118.25,4.25,37,7,True,677.1550606063537,6.9059798048852805,759.6218188006934,7.716327609981379,753.5571890202643,6.659386419848461,316.6365302556597,3.776366516911581
MYS_07_38,1,118.75,4.25,38,7,True,632.0742766510451,6.446222503056979,656.8683763656452,6.672546079148038,635.885585754451,5.619490990267361,311.72980360661523,3.7178464269834604
MYS_08_02,1,100.75,4.75,2,8,True,381.10635338911254,3.886720978887696,696.9690167272131,7.079893091492199,1526.0113923952351,13.48577080959623,277.0009630023758,3.3036528065470674
MYS_08_03,1,101.25,4.75,3,8,True,338.13237081191426,3.448449934220503,762.153466317423,7.74204438265508,1403.844692363898,12.406151007674987,377.07151513306144,4.497144543239762
MYS_08_04,1,101.75,4.75,4,8,True,294.44025856414385,3.0028550293464327,784.0033663752638,7.963998232477143,1111.1996766144023,9.819968734963467,857.2282145761869,10.223734842797866
MYS_08_05,1,102.25,4.75,5,8,True,266.8478766689279,2.7214535554116224,734.5150976185249,7.461290588849023,725.9423805473214,6.415346971733678,1607.0877486414802,19.166936799137762
MYS_08_06,1,102.75,4.75,6,8,True,239.40021365066693,2.4415279999182133,616.6321651664596,6.263821922320232,490.0892407564247,4.331049695976574,2054.0819863043253,24.498014899947684
MYS_08_07,1,103.25,4.75,7,8,True,214.31717034754064,2.185718067195652,439.9519727284229,4.469083786442451,440.7023242275022,3.8946043059743936,2125.201420505011,25.34622104280907
MYS_08_08,1,103.75,4.75,8,8,True,202.07013452020192,2.060816420566041,321.09580066478907,3.261728837687419,401.13871063642176,3.5449700712972323,2174.458226245628,25.933682482519433
MYS_08_29,1,114.25,4.75,29,8,True,680.4347290290234,6.939427570709249,1201.029031852966,12.200193898469134,990.3998056171981,8.752427966778196,659.1287454350977,7.8611009367279046
